"acc_1","acc_2","age","avg_rt","condition","correct_1","correct_2","count_block_loop","dis_position","distance_dis","distance_tar","gender","hand","practice","response_keyboard_response_1","response_keyboard_response_2","response_time_keyboard_response_1","response_time_keyboard_response_2","subject_nr","tar_color","tar_position","tar_shape"
"100","100","19","1630.25624858","high_load","1","1","0","","6","1","Female","Right-handed","yes","down","d","1299.34795305","1961.16454412","13","red","2","circle"
"100","100","19","1290.23169139","high_load","1","1","0","","6","4","Female","Right-handed","yes","left","d","890.768425033","1009.64584335","13","green","5","diamond"
"66","66","19","1292.0718775","high_load","0","0","0","","6","3","Female","Right-handed","yes","down","s","933.233099007","1658.27140047","13","green","4","diamond"
"75","75","19","1344.39394688","high_load","1","1","0","","6","3","Female","Right-handed","yes","down","d","1601.06342889","1401.6568811","13","green","6","circle"
"60","60","19","1675.54315598","high_load","0","0","0","","6","1","Female","Right-handed","yes","None","None","3000.09012109","3000.18986365","13","red","2","circle"
"50","50","19","1896.30357595","high_load","0","0","0","","6","1","Female","Right-handed","yes","None","None","3000.08498964","3000.12636196","13","red","2","circle"
"57","42","19","1754.74926017","high_load","1","0","0","","6","3","Female","Right-handed","yes","left","d","832.912287161","977.9344438","13","red","6","diamond"
"62","50","19","1702.65752189","high_load","1","1","0","","6","1","Female","Right-handed","yes","down","d","994.621598851","1681.40910903","13","green","0","diamond"
"66","55","19","1616.25957697","high_load","1","1","0","","6","1","Female","Right-handed","yes","down","d","928.13436189","922.017673356","13","red","0","diamond"
"70","60","19","1564.80736055","high_load","1","1","0","","6","2","Female","Right-handed","yes","left","s","937.887644976","1265.58718061","13","green","3","circle"
"72","63","19","1509.76353141","high_load","1","1","0","","6","3","Female","Right-handed","yes","down","d","885.597206182","1033.05327375","13","green","6","circle"
"75","66","19","1455.73243646","high_load","1","1","0","","6","2","Female","Right-handed","yes","left","d","912.884654302","809.896129828","13","red","3","diamond"
"76","69","19","1412.47368189","high_load","1","1","0","","6","1","Female","Right-handed","yes","left","s","729.467063627","1057.27019041","13","green","2","diamond"
"71","64","19","1365.94079709","high_load","0","0","0","","6","3","Female","Right-handed","yes","left","d","728.164637446","793.861951805","13","red","6","diamond"
"73","66","19","1335.4211921","high_load","1","1","0","","6","2","Female","Right-handed","yes","down","s","966.687908732","849.605535809","13","green","7","diamond"
"75","68","19","1317.93593954","high_load","1","1","0","","6","3","Female","Right-handed","yes","down","d","958.331342224","1152.98296006","13","green","4","circle"
"76","64","19","1301.39960868","high_load","1","0","0","","6","0","Female","Right-handed","yes","left","s","959.931071797","1113.70555803","13","red","1","diamond"
"77","66","19","1290.86989768","high_load","1","1","0","","6","4","Female","Right-handed","yes","down","d","1142.58503855","1081.14458278","13","red","5","circle"
"78","63","19","1286.26595398","high_load","1","0","0","","6","2","Female","Right-handed","yes","left","d","917.188337369","1489.60159742","13","green","7","circle"
"80","65","19","1264.79941482","high_load","1","1","0","","6","2","Female","Right-handed","yes","down","s","872.582886549","841.287455176","13","red","3","circle"
"80","66","19","1242.12562563","high_load","1","1","0","","6","2","Female","Right-handed","yes","left","d","655.273350744","922.026332677","13","red","3","circle"
"81","63","19","1224.85408678","high_load","1","0","0","","6","0","Female","Right-handed","yes","down","d","906.842051079","817.461490872","13","red","1","circle"
"100","100","19","908.319427638","high_load","1","1","1","1","0","3","Female","Right-handed","no","down","s","1070.78354357","745.855311708","13","green","4","diamond"
"100","50","19","976.87054987","high_load","1","0","1","1","0","2","Female","Right-handed","no","left","s","1225.53717463","865.306169575","13","green","7","circle"
"66","66","19","1036.06463318","high_load","0","1","1","1","0","1","Female","Right-handed","no","down","s","1222.04201567","1086.86358393","13","green","0","diamond"
"75","75","19","986.062740958","high_load","1","1","1","0","1","1","Female","Right-handed","no","down","s","902.607642589","769.506485993","13","red","2","diamond"
"80","80","19","1000.46471695","high_load","1","1","1","","6","2","Female","Right-handed","no","down","d","811.162315144","1304.9829267","13","green","7","diamond"
"83","83","19","1006.159023","high_load","1","1","1","6","3","1","Female","Right-handed","no","down","s","1203.7663561","865.494750366","13","green","0","diamond"
"85","85","19","1037.88146433","high_load","1","1","1","1","0","3","Female","Right-handed","no","left","s","1895.36043145","561.071793156","13","red","6","circle"
"87","87","19","1029.31142434","high_load","1","1","1","1","0","4","Female","Right-handed","no","down","d","896.995119028","1041.64716983","13","red","5","circle"
"88","77","19","1016.47851171","high_load","1","0","1","5","4","2","Female","Right-handed","no","left","s","786.480360818","1041.1500606","13","red","7","diamond"
"90","80","19","1048.72812198","high_load","1","1","1","1","0","2","Female","Right-handed","no","down","d","932.098086386","1745.85114241","13","red","3","circle"
"90","81","19","1031.24678464","high_load","1","1","1","5","4","1","Female","Right-handed","no","down","d","783.519193387","929.347629126","13","red","2","diamond"
"91","83","19","1012.56899261","high_load","1","1","1","","6","1","Female","Right-handed","no","down","d","645.179788373","969.046772206","13","green","0","diamond"
"92","76","19","997.236985489","high_load","1","0","1","1","0","2","Female","Right-handed","no","left","d","808.720065605","817.785734376","13","green","3","diamond"
"92","78","19","1015.3150534","high_load","1","1","1","","6","1","Female","Right-handed","no","left","s","1363.35958605","1137.30028637","13","green","2","diamond"
"93","80","19","1024.85353719","high_load","1","1","1","","6","0","Female","Right-handed","no","left","s","883.106849299","1433.67777123","13","green","1","circle"
"93","81","19","1021.70714646","high_load","1","1","1","","6","0","Female","Right-handed","no","down","d","851.766517737","1097.25605327","13","red","1","circle"
"94","76","19","1029.93253143","high_load","1","0","1","1","0","3","Female","Right-handed","no","down","s","858.195904013","1464.88147793","13","green","6","circle"
"94","72","19","1025.49442502","high_load","1","0","1","7","2","0","Female","Right-handed","no","down","s","722.858076598","1177.23515544","13","green","1","circle"
"94","68","19","1061.26462765","high_load","1","0","1","1","0","1","Female","Right-handed","no","left","d","1849.2934795","1560.96307056","13","green","0","circle"
