"acc_1","acc_2","age","avg_rt","condition","correct_1","correct_2","count_block_loop","dis_position","distance_dis","distance_tar","gender","hand","practice","response_keyboard_response_1","response_keyboard_response_2","response_time_keyboard_response_1","response_time_keyboard_response_2","subject_nr","tar_color","tar_position","tar_shape"
"100","100","19","1520.19033532","high_load","1","1","0","","6","0","Female","Right-handed","yes","down","s","1846.53581247","1193.84485818","6","red","6","diamond"
"100","100","19","1486.99221892","high_load","1","1","0","","6","3","Female","Right-handed","yes","down","d","1714.40304855","1193.18515649","6","green","1","circle"
"100","66","19","1447.59979124","high_load","1","0","0","","6","2","Female","Right-handed","yes","left","d","984.102055242","1753.52781651","6","red","4","circle"
"100","50","19","1432.55015272","high_load","1","0","0","","6","2","Female","Right-handed","yes","left","s","1301.51606311","1473.28641124","6","green","4","circle"
"100","60","19","1370.35556542","high_load","1","1","0","","6","4","Female","Right-handed","yes","down","d","1105.26234768","1137.89208473","6","red","2","circle"
"83","66","19","1310.20959186","high_load","0","1","0","","6","2","Female","Right-handed","yes","down","s","698.693360906","1320.26608716","6","red","0","diamond"
"71","71","19","1254.76195669","high_load","0","1","0","","6","2","Female","Right-handed","yes","down","s","689.083909436","1155.06838191","6","green","0","diamond"
"62","75","19","1224.80297145","high_load","0","1","0","","6","1","Female","Right-handed","yes","down","d","849.712771594","1180.46737796","6","red","7","circle"
"66","77","19","1232.34076612","high_load","1","1","0","","6","1","Female","Right-handed","yes","down","s","1696.39579022","888.890456807","6","red","5","circle"
"70","70","19","1232.324164","high_load","1","0","0","","6","1","Female","Right-handed","yes","down","s","1502.84951361","961.499976267","6","green","5","circle"
"72","63","19","1215.36503455","high_load","1","0","0","","6","3","Female","Right-handed","yes","down","s","1402.36543304","689.182046878","6","green","3","circle"
"75","66","19","1174.74555356","high_load","1","1","0","","6","4","Female","Right-handed","yes","down","s","702.123360688","753.739164792","6","red","2","circle"
"76","69","19","1160.44405885","high_load","1","1","0","","6","3","Female","Right-handed","yes","down","s","1024.40511392","953.247130602","6","green","1","diamond"
"78","71","19","1132.37225456","high_load","1","1","0","","6","2","Female","Right-handed","yes","down","s","732.966739746","801.910857849","6","green","0","diamond"
"80","73","19","1157.88957678","high_load","1","1","0","","6","2","Female","Right-handed","yes","down","s","732.712736957","2297.55143877","6","green","0","diamond"
"81","75","19","1119.61779476","high_load","1","1","0","","6","2","Female","Right-handed","yes","down","s","594.092639179","496.989489673","6","green","4","diamond"
"76","76","19","1099.60198495","high_load","0","1","0","","6","3","Female","Right-handed","yes","down","d","854.897699735","703.800356374","6","red","3","circle"
"77","77","19","1092.50447142","high_load","1","1","0","","6","3","Female","Right-handed","yes","down","d","790.461810424","1153.23167235","6","red","3","diamond"
"73","78","19","1094.29926964","high_load","0","1","0","","6","0","Female","Right-handed","yes","left","d","1213.3145568","1039.89671836","6","green","6","circle"
"75","80","19","1069.89429539","high_load","1","1","0","","6","2","Female","Right-handed","yes","down","s","562.909306893","649.490262585","6","red","4","circle"
"76","80","19","1077.90093115","high_load","1","1","0","","6","4","Female","Right-handed","yes","left","d","1867.09111644","608.976176334","6","red","2","diamond"
"77","81","19","1069.14141343","high_load","1","1","0","","6","3","Female","Right-handed","yes","down","d","584.81384033","1185.56924206","6","green","3","diamond"
"100","0","19","887.852316621","high_load","1","0","1","6","0","1","Female","Right-handed","no","left","d","1062.36474031","713.339892934","6","red","7","diamond"
"50","0","19","986.395376508","high_load","0","0","1","6","0","2","Female","Right-handed","no","down","s","647.009245445","1522.86762734","6","green","0","diamond"
