"acc_1","acc_2","age","avg_rt","condition","correct_1","correct_2","count_block_loop","dis_position","distance_dis","distance_tar","gender","hand","practice","response_keyboard_response_1","response_keyboard_response_2","response_time_keyboard_response_1","response_time_keyboard_response_2","subject_nr","tar_color","tar_position","tar_shape"
"100","0","26","1077.25975011","high_load","1","0","0","","6","1","Male","Right-handed","yes","down","s","880.350191434","1274.1693088","18","green","1","circle"
"100","50","26","1090.75633742","high_load","1","1","0","","6","1","Male","Right-handed","yes","left","s","1014.81527331","1193.69057614","18","red","1","diamond"
"100","66","26","1066.95058197","high_load","1","1","0","","6","2","Male","Right-handed","yes","left","d","781.396865877","1257.28127628","18","green","4","diamond"
"100","75","26","1000.8262734","high_load","1","1","0","","6","4","Male","Right-handed","yes","left","s","930.984142095","673.922553275","18","red","6","diamond"
"100","80","26","1033.45249908","high_load","1","1","0","","6","3","Male","Right-handed","yes","down","d","718.633281014","1609.28152259","18","red","7","diamond"
"100","66","26","1022.24388986","high_load","1","0","0","","6","4","Male","Right-handed","yes","down","s","762.40721011","1169.99447734","18","red","6","circle"
"85","71","26","1037.25040275","high_load","0","1","0","","6","2","Male","Right-handed","yes","left","s","1239.0116181","1015.56734206","18","green","0","circle"
"87","75","26","1017.7933012","high_load","1","1","0","","6","4","Male","Right-handed","yes","left","s","1018.09711533","745.090065444","18","red","6","diamond"
"88","66","26","994.747046549","high_load","1","0","0","","6","0","Male","Right-handed","yes","left","s","883.087144402","737.666874275","18","red","2","circle"
"90","70","26","1033.75364729","high_load","1","1","0","","6","4","Male","Right-handed","yes","left","d","1952.43590097","817.190207006","18","green","6","diamond"
"90","72","26","1055.8947","high_load","1","1","0","","6","1","Male","Right-handed","yes","down","s","2032.98422804","521.626226","18","green","3","diamond"
"91","75","26","1052.07044474","high_load","1","1","0","","6","0","Male","Right-handed","yes","down","d","1450.53536391","569.471909832","18","red","2","diamond"
"92","76","26","1054.22354014","high_load","1","1","0","","6","2","Male","Right-handed","yes","down","d","1374.21112959","785.910240515","18","red","4","circle"
"92","78","26","1030.4302296","high_load","1","1","0","","6","0","Male","Right-handed","yes","down","d","872.696408607","569.537976426","18","green","2","diamond"
"93","80","26","1010.82150495","high_load","1","1","0","","6","3","Male","Right-handed","yes","down","d","878.363062231","594.235657616","18","green","5","diamond"
"93","75","26","1013.10421668","high_load","1","0","0","","6","1","Male","Right-handed","yes","left","s","828.929535166","1265.7602501","18","red","3","diamond"
"94","76","26","1005.12954655","high_load","1","1","0","","6","3","Male","Right-handed","yes","left","d","1161.75732008","593.312328861","18","red","5","circle"
"94","77","26","988.900322258","high_load","1","1","0","","6","3","Male","Right-handed","yes","down","d","728.213578544","697.793439907","18","red","7","circle"
"94","73","26","972.202328724","high_load","1","0","0","","6","2","Male","Right-handed","yes","down","s","621.745017585","721.531872641","18","red","0","diamond"
"95","75","26","955.255036295","high_load","1","1","0","","6","2","Male","Right-handed","yes","left","d","585.373754115","681.139206161","18","green","0","circle"
"95","76","26","943.907797181","high_load","1","1","0","","6","3","Male","Right-handed","yes","down","d","792.134611647","641.791418142","18","green","5","circle"
"95","77","26","944.61192232","high_load","1","1","0","","6","0","Male","Right-handed","yes","left","s","1109.41493862","809.382161891","18","red","2","diamond"
"100","100","26","1175.82148678","high_load","1","1","1","6","4","1","Male","Right-handed","no","left","s","1629.57294682","722.070026741","18","green","3","circle"
"100","100","26","1060.06944689","high_load","1","1","1","2","0","3","Male","Right-handed","no","left","d","846.960263189","1041.67455083","18","green","5","diamond"
"100","100","26","1024.87129308","high_load","1","1","1","2","0","1","Male","Right-handed","no","left","d","1211.61258293","697.337387983","18","red","1","circle"
"100","100","26","1002.66002227","high_load","1","1","1","2","0","3","Male","Right-handed","no","down","d","1238.17680575","633.875613923","18","green","5","circle"
"100","100","26","931.470180554","high_load","1","1","1","","6","3","Male","Right-handed","no","down","s","683.88545977","609.536167611","18","red","7","circle"
"100","100","26","866.092742531","high_load","1","1","1","6","4","2","Male","Right-handed","no","left","d","581.293660878","497.117443954","18","red","4","diamond"
"100","100","26","845.265989513","high_load","1","1","1","","6","2","Male","Right-handed","no","down","s","862.919835565","577.691107243","18","red","4","diamond"
"87","87","26","828.551315944","high_load","0","0","1","2","0","2","Male","Right-handed","no","down","d","583.717920019","839.379281901","18","green","4","circle"
"88","88","26","838.277851292","high_load","1","1","1","4","2","1","Male","Right-handed","no","down","s","1182.24245414","649.937814018","18","red","3","circle"
"90","90","26","840.671236593","high_load","1","1","1","7","3","1","Male","Right-handed","no","left","s","1058.92113894","665.502269676","18","red","3","circle"
"90","90","26","828.645107693","high_load","1","1","1","2","0","4","Male","Right-handed","no","down","d","887.550167316","529.217470061","18","green","6","circle"
"91","91","26","825.045971338","high_load","1","1","1","","6","0","Male","Right-handed","no","left","s","921.013217809","649.897725065","18","red","2","diamond"
"92","92","26","810.857990424","high_load","1","1","1","","6","4","Male","Right-handed","no","down","s","607.788930702","673.415508203","18","red","6","circle"
"92","92","26","794.69541376","high_load","1","1","1","4","2","3","Male","Right-handed","no","down","s","631.218838858","537.944995393","18","red","5","diamond"
"93","93","26","807.007837551","high_load","1","1","1","2","0","3","Male","Right-handed","no","left","d","1341.08642986","617.67711139","18","green","5","circle"
"93","93","26","798.183212767","high_load","1","1","1","","6","1","Male","Right-handed","no","left","d","794.361633141","537.26604889","18","green","1","diamond"
"88","94","26","800.671247535","high_load","0","1","1","5","3","2","Male","Right-handed","no","left","s","657.052480608","1023.90712705","18","red","4","diamond"
"88","94","26","826.888187885","high_load","1","1","1","2","0","2","Male","Right-handed","no","down","d","1439.82038866","1105.33195898","18","red","4","circle"
"89","94","26","857.22677387","high_load","1","1","1","2","0","2","Male","Right-handed","no","down","d","2390.09180691","416.550836319","18","green","0","diamond"
"90","95","26","853.652287989","high_load","1","1","1","2","0","2","Male","Right-handed","no","left","s","889.820805591","681.65330689","18","green","4","circle"
"90","90","26","850.895631489","high_load","1","0","1","2","0","4","Male","Right-handed","no","left","s","982.30794345","609.217059549","18","red","6","circle"
"90","90","26","840.099199311","high_load","1","1","1","","6","2","Male","Right-handed","no","down","s","681.053896871","545.69435028","18","green","0","circle"
"91","91","26","843.876369965","high_load","1","1","1","","6","4","Male","Right-handed","no","left","s","740.690222721","1113.25802597","18","red","6","circle"
"91","91","26","843.199658859","high_load","1","1","1","2","0","2","Male","Right-handed","no","down","d","942.338295597","712.932311248","18","red","0","circle"
"92","92","26","830.48286983","high_load","1","1","1","","6","1","Male","Right-handed","no","left","s","657.007580981","393.552285293","18","green","3","circle"
"92","88","26","834.30440906","high_load","1","0","1","","6","4","Male","Right-handed","no","left","s","882.428723446","977.257056136","18","green","6","circle"
"92","88","26","832.304306342","high_load","1","1","1","","6","0","Male","Right-handed","no","down","s","1175.77273862","384.830532772","18","red","2","diamond"
"92","89","26","826.028675651","high_load","1","1","1","","6","3","Male","Right-handed","no","down","s","639.672797177","673.500496783","18","green","5","circle"
"93","89","26","818.759664617","high_load","1","1","1","","6","3","Male","Right-handed","no","left","s","629.409704605","601.045006744","18","green","7","circle"
"93","86","26","815.906302176","high_load","1","0","1","","6","2","Male","Right-handed","no","left","d","872.743553215","593.574029543","18","green","4","diamond"
"93","87","26","811.019477479","high_load","1","1","1","","6","3","Male","Right-handed","no","down","d","775.617321762","553.212151379","18","red","5","circle"
"93","87","26","817.158747201","high_load","1","1","1","2","0","4","Male","Right-handed","no","down","s","1078.12150224","936.830714934","18","red","6","diamond"
"93","87","26","821.443435926","high_load","1","1","1","6","4","2","Male","Right-handed","no","left","d","1155.67919345","761.427756821","18","green","0","diamond"
"94","88","26","821.402636234","high_load","1","1","1","4","2","3","Male","Right-handed","no","down","d","1006.99023048","633.122262323","18","red","5","diamond"
"94","88","26","815.383116146","high_load","1","1","1","7","3","4","Male","Right-handed","no","left","s","811.805458899","409.633407373","18","green","6","diamond"
"94","88","26","809.228322763","high_load","1","1","1","2","0","3","Male","Right-handed","no","left","s","754.3563863","433.264722426","18","red","7","diamond"
"94","89","26","801.356773978","high_load","1","1","1","","6","1","Male","Right-handed","no","left","s","578.955031739","457.007003701","18","red","3","diamond"
"92","89","26","808.364227427","high_load","0","1","1","4","2","4","Male","Right-handed","no","down","s","877.843188697","1257.43682142","18","red","6","circle"
"92","87","26","808.3349151","high_load","1","0","1","0","2","3","Male","Right-handed","no","down","s","789.3210086","825.121084672","18","green","5","diamond"
"90","85","26","806.251230731","high_load","0","0","1","4","2","1","Male","Right-handed","no","left","s","742.210716515","707.764364193","18","red","3","circle"
"90","85","26","802.52204646","high_load","1","1","1","0","2","0","Male","Right-handed","no","left","d","857.407444229","449.301907014","18","red","2","diamond"
"90","85","26","796.796372678","high_load","1","1","1","","6","0","Male","Right-handed","no","left","d","683.156161544","440.93133372","18","green","2","diamond"
"90","86","26","791.886075058","high_load","1","1","1","","6","3","Male","Right-handed","no","down","d","577.807846272","593.499303734","18","green","7","diamond"
"90","86","26","789.056505335","high_load","1","1","1","","6","1","Male","Right-handed","no","down","s","653.442229894","681.327784594","18","green","3","circle"
"91","84","26","786.066409256","high_load","1","0","1","2","0","1","Male","Right-handed","no","left","s","820.094571445","488.909792159","18","red","3","circle"
"91","84","26","783.36961186","high_load","1","1","1","3","1","0","Male","Right-handed","no","left","d","891.584078079","432.44337997","18","red","2","diamond"
"91","85","26","778.843646548","high_load","1","1","1","2","0","3","Male","Right-handed","no","left","d","700.176647962","441.121836422","18","green","5","diamond"
"91","85","26","776.623270509","high_load","1","1","1","2","0","3","Male","Right-handed","no","down","s","743.87071986","600.660473512","18","red","7","diamond"
"91","85","26","780.649575076","high_load","1","1","1","7","3","1","Male","Right-handed","no","down","s","1506.44213432","441.382254256","18","green","1","diamond"
"92","86","26","776.526879162","high_load","1","1","1","3","1","2","Male","Right-handed","no","down","s","668.253654669","480.775904038","18","green","0","circle"
"92","86","26","772.048565474","high_load","1","1","1","2","0","3","Male","Right-handed","no","down","d","631.699585574","464.566176597","18","red","7","diamond"
"92","86","26","769.86011953","high_load","1","1","1","2","0","3","Male","Right-handed","no","down","d","603.277801049","713.220951704","18","green","7","diamond"
"92","86","26","769.674308515","high_load","1","1","1","2","0","1","Male","Right-handed","no","down","d","1047.12312055","472.901150904","18","red","3","circle"
