"acc_1","acc_2","age","avg_rt","condition","correct_1","correct_2","count_block_loop","dis_position","distance_dis","distance_tar","gender","hand","practice","response_keyboard_response_1","response_keyboard_response_2","response_time_keyboard_response_1","response_time_keyboard_response_2","subject_nr","tar_color","tar_position","tar_shape"
"100","0","24","954.067707789","high_load","1","0","0","","6","2","Female","Right-handed","yes","down","s","683.086137921","1225.04927766","19","red","1","diamond"
"100","0","24","970.202973272","high_load","1","0","0","","6","1","Female","Right-handed","yes","left","s","666.954239931","1305.72223758","19","green","0","diamond"
"100","33","24","1032.93472899","high_load","1","1","0","","6","1","Female","Right-handed","yes","down","s","1291.43412252","1025.36235835","19","green","0","circle"
"75","50","24","1206.56630787","high_load","0","1","0","","6","0","Female","Right-handed","yes","left","d","1450.09919674","2004.82289229","19","red","7","circle"
"80","40","24","1228.45038207","high_load","1","0","0","","6","3","Female","Right-handed","yes","down","d","1438.52624368","1193.44711399","19","red","2","diamond"
"66","33","24","1523.73289233","high_load","0","0","0","","6","1","Female","Right-handed","yes","None","None","3000.21199174","3000.07889556","19","green","6","diamond"
"71","42","24","1419.8010778","high_load","1","1","0","","6","0","Female","Right-handed","yes","down","s","839.277547541","753.142833685","19","red","7","diamond"
"75","50","24","1342.88605749","high_load","1","1","0","","6","2","Female","Right-handed","yes","left","s","847.052288516","761.909542065","19","red","5","diamond"
"77","55","24","1315.77573832","high_load","1","1","0","","6","4","Female","Right-handed","yes","left","s","1524.49226214","673.294107912","19","green","3","diamond"
"80","60","24","1253.35253232","high_load","1","1","0","","6","2","Female","Right-handed","yes","left","s","758.061298647","625.026057986","19","red","5","diamond"
"81","63","24","1209.43263535","high_load","1","1","0","","6","3","Female","Right-handed","yes","down","d","858.940823836","681.526507306","19","red","4","circle"
"83","66","24","1168.08901846","high_load","1","1","0","","6","0","Female","Right-handed","yes","left","s","777.448440465","649.170025074","19","green","7","diamond"
"84","69","24","1128.88764803","high_load","1","1","0","","6","3","Female","Right-handed","yes","down","d","611.105480804","705.836924792","19","red","4","circle"
"85","71","24","1106.22264942","high_load","1","1","0","","6","2","Female","Right-handed","yes","down","d","573.664083211","1049.49125189","19","green","5","circle"
"86","73","24","1096.08346595","high_load","1","1","0","","6","0","Female","Right-handed","yes","down","s","619.166619094","1289.10317551","19","green","7","diamond"
"87","75","24","1065.13512389","high_load","1","1","0","","6","3","Female","Right-handed","yes","down","s","600.045669628","601.774316351","19","green","2","circle"
"88","76","24","1044.03220516","high_load","1","1","0","","6","1","Female","Right-handed","yes","left","d","619.483484208","793.287526868","19","red","0","circle"
"88","77","24","1027.92006775","high_load","1","1","0","","6","1","Female","Right-handed","yes","left","s","906.167195737","601.860267616","19","red","6","circle"
"89","78","24","1006.51185491","high_load","1","1","0","","6","3","Female","Right-handed","yes","down","s","600.697039107","641.631008651","19","green","4","circle"
"90","75","24","993.527557002","high_load","1","0","0","","6","3","Female","Right-handed","yes","left","s","788.472973138","705.178820325","19","green","2","circle"
"90","71","24","970.854839094","high_load","1","0","0","","6","2","Female","Right-handed","yes","down","s","568.9297079","465.871253984","19","green","5","circle"
"90","68","24","958.891051989","high_load","1","0","0","","6","2","Female","Right-handed","yes","down","d","549.862317618","865.440727943","19","green","5","circle"
"100","0","24","699.376789181","high_load","1","0","1","","6","1","Female","Right-handed","no","down","d","725.386347732","673.367230631","19","green","0","diamond"
"100","50","24","758.927385933","high_load","1","1","1","","6","3","Female","Right-handed","no","down","d","666.933714256","970.022251115","19","red","4","diamond"
"66","66","24","705.30742651","high_load","0","1","1","5","2","3","Female","Right-handed","no","down","s","499.781914699","696.353100628","19","green","2","circle"
"75","50","24","771.292822492","high_load","1","0","1","5","2","3","Female","Right-handed","no","left","d","1073.32573028","865.172290595","19","green","2","diamond"
"80","60","24","778.102311512","high_load","1","1","1","","6","2","Female","Right-handed","no","left","d","712.894549984","897.785985197","19","red","1","circle"
"66","66","24","886.452124183","high_load","0","1","1","7","0","2","Female","Right-handed","no","left","d","1523.32550578","1333.0768693","19","red","1","diamond"
"71","71","24","868.157791313","high_load","1","1","1","7","0","3","Female","Right-handed","no","left","s","955.045563792","561.738024391","19","green","2","diamond"
"75","75","24","843.501005919","high_load","1","1","1","","6","1","Female","Right-handed","no","down","s","628.45352506","713.353491257","19","green","0","diamond"
"66","66","24","888.902483585","high_load","0","0","1","7","0","4","Female","Right-handed","no","down","s","1935.19050072","569.038109124","19","green","3","diamond"
"70","70","24","866.129203995","high_load","1","1","1","7","0","2","Female","Right-handed","no","down","s","736.655264227","585.684111139","19","green","1","diamond"
"72","72","24","862.685505894","high_load","1","1","1","7","0","1","Female","Right-handed","no","left","s","1207.35614548","449.140904271","19","red","0","diamond"
"75","75","24","895.276694656","high_load","1","1","1","7","0","3","Female","Right-handed","no","left","s","2033.80225949","473.757282606","19","red","4","diamond"
"76","76","24","886.63366046","high_load","1","1","1","","6","3","Female","Right-handed","no","left","d","660.537400667","905.29709953","19","green","2","diamond"
"78","78","24","879.062503064","high_load","1","1","1","","6","3","Female","Right-handed","no","left","s","1008.30744639","552.967467446","19","red","4","circle"
"80","80","24","882.12498041","high_load","1","1","1","7","0","4","Female","Right-handed","no","down","s","1200.58331404","649.416012464","19","red","3","diamond"
"75","75","24","881.844601154","high_load","0","0","1","","6","2","Female","Right-handed","no","down","s","652.200127901","1103.07769674","19","red","1","diamond"
"76","76","24","912.018022524","high_load","1","1","1","","6","1","Female","Right-handed","no","down","d","1939.95662668","849.628902203","19","green","6","circle"
"77","72","24","899.736592511","high_load","1","0","1","","6","2","Female","Right-handed","no","left","s","588.631790551","793.272774039","19","green","1","circle"
"78","73","24","902.825443614","high_load","1","1","1","7","0","3","Female","Right-handed","no","left","s","1252.04054077","664.808986141","19","green","4","circle"
"80","70","24","892.888895802","high_load","1","0","1","","6","4","Female","Right-handed","no","down","s","750.821828799","657.367145963","19","green","3","circle"
"76","66","24","908.899989349","high_load","0","0","1","7","0","3","Female","Right-handed","no","down","s","1810.36232307","647.881397516","19","green","2","circle"
"77","63","24","931.574191599","high_load","1","0","1","0","1","2","Female","Right-handed","no","left","s","2293.98924839","521.475629288","19","red","1","circle"
"78","60","24","922.251746628","high_load","1","0","1","7","0","4","Female","Right-handed","no","down","s","977.235101727","457.080812791","19","green","3","diamond"
"79","62","24","911.854892455","high_load","1","1","1","7","0","1","Female","Right-handed","no","down","s","784.739224502","560.715268473","19","red","0","diamond"
"80","64","24","912.578967725","high_load","1","1","1","","6","0","Female","Right-handed","no","down","d","1018.54623056","841.367317865","19","red","7","circle"
"80","65","24","902.632653468","high_load","1","1","1","7","0","3","Female","Right-handed","no","left","s","683.06080154","624.888792532","19","green","4","circle"
"81","66","24","893.596876591","high_load","1","1","1","7","0","1","Female","Right-handed","no","down","s","747.763182454","569.570173115","19","red","6","circle"
"82","64","24","888.070067417","high_load","1","0","1","","6","2","Female","Right-handed","no","left","d","660.449845833","817.242593599","19","red","5","circle"
"82","62","24","892.044237166","high_load","1","0","1","3","4","0","Female","Right-handed","no","left","s","1365.78036373","640.861616538","19","red","7","diamond"
"83","63","24","882.75937879","high_load","1","1","1","","6","3","Female","Right-handed","no","down","d","569.592623072","657.404348749","19","green","2","circle"
"80","64","24","897.107355055","high_load","0","1","1","7","0","4","Female","Right-handed","no","down","s","1939.07690906","716.016376923","19","red","3","circle"
"81","65","24","895.715683196","high_load","1","1","1","4","3","3","Female","Right-handed","no","down","s","1127.64372302","577.503988075","19","green","2","circle"
"81","66","24","909.636875534","high_load","1","1","1","7","0","3","Female","Right-handed","no","down","d","1261.19338842","1449.03667233","19","green","2","diamond"
"82","67","24","902.89016696","high_load","1","1","1","","6","3","Female","Right-handed","no","left","s","727.757383952","632.740184077","19","red","2","diamond"
"82","68","24","894.357698013","high_load","1","1","1","6","1","4","Female","Right-handed","no","down","s","727.327306909","481.180200677","19","red","3","diamond"
"83","69","24","886.972856291","high_load","1","1","1","0","1","3","Female","Right-handed","no","down","s","800.107823939","456.898968136","19","red","2","diamond"
"83","70","24","889.101782577","high_load","1","1","1","3","4","1","Female","Right-handed","no","down","d","873.986143886","1057.50011385","19","red","0","circle"
"84","71","24","887.869417004","high_load","1","1","1","7","0","2","Female","Right-handed","no","left","d","1035.39043362","649.153347962","19","red","5","circle"
"82","71","24","891.097900284","high_load","0","1","1","7","0","1","Female","Right-handed","no","down","d","1073.98832474","953.572205156","19","green","6","circle"
"82","72","24","902.541102665","high_load","1","1","1","7","0","1","Female","Right-handed","no","left","d","1784.43454651","913.217444515","19","red","0","circle"
"82","73","24","906.085284682","high_load","1","1","1","","6","2","Female","Right-handed","no","down","s","830.93899192","1264.76613879","19","red","5","diamond"
"83","71","24","900.474787583","high_load","1","0","1","7","0","2","Female","Right-handed","no","down","s","891.616736892","449.272076166","19","green","5","circle"
"83","72","24","893.290418512","high_load","1","1","1","","6","1","Female","Right-handed","no","down","d","678.062799587","505.031035462","19","green","6","diamond"
"84","70","24","911.173179088","high_load","1","0","1","7","0","2","Female","Right-handed","no","down","d","2671.8589142","688.404853553","19","red","5","circle"
"84","71","24","917.159507375","high_load","1","1","1","7","0","2","Female","Right-handed","no","down","d","1296.27144693","1064.84445707","19","green","1","circle"
"84","71","24","918.888781349","high_load","1","1","1","7","0","1","Female","Right-handed","no","left","d","1328.90951577","664.502704578","19","green","0","circle"
"85","72","24","918.160573723","high_load","1","1","1","4","3","2","Female","Right-handed","no","left","s","1128.21587623","641.110169639","19","green","1","diamond"
"85","72","24","915.705197128","high_load","1","1","1","","6","0","Female","Right-handed","no","left","s","855.961073057","744.643921225","19","red","7","circle"
"85","73","24","923.914682334","high_load","1","1","1","7","0","1","Female","Right-handed","no","down","s","635.659319972","2000.28062447","19","green","0","circle"
"84","74","24","926.167420237","high_load","0","1","1","4","3","1","Female","Right-handed","no","down","d","1280.23127305","792.871881942","19","green","0","circle"
"84","72","24","928.176876184","high_load","1","0","1","6","1","0","Female","Right-handed","no","left","d","1360.736179","696.563168087","19","green","7","diamond"
"84","73","24","923.591727122","high_load","1","1","1","2","3","4","Female","Right-handed","no","down","s","594.273144142","785.225105723","19","green","3","circle"
"84","73","24","922.387208297","high_load","1","1","1","7","0","2","Female","Right-handed","no","left","s","1286.93066106","432.573797821","19","red","5","diamond"
"85","74","24","918.565971671","high_load","1","1","1","7","0","2","Female","Right-handed","no","down","s","902.763782189","529.317078709","19","green","5","circle"
"85","74","24","911.165489249","high_load","1","1","1","7","0","2","Female","Right-handed","no","down","s","534.084166814","488.994710148","19","green","1","diamond"
"85","73","24","904.47988958","high_load","1","0","1","7","0","3","Female","Right-handed","no","down","s","512.821812122","560.72200346","19","green","2","diamond"
"85","73","24","902.219871485","high_load","1","1","1","7","0","3","Female","Right-handed","no","left","d","790.199374865","761.118341423","19","red","2","circle"
"86","72","24","893.715821737","high_load","1","0","1","1","2","3","Female","Right-handed","no","down","s","481.019202411","336.950769809","19","red","2","circle"
"84","71","24","896.397661891","high_load","0","0","1","5","2","4","Female","Right-handed","no","down","s","531.566243731","1572.3225379","19","red","3","diamond"
"85","71","24","898.143236181","high_load","1","1","1","7","0","4","Female","Right-handed","no","left","d","961.20454926","1041.05968931","19","green","3","diamond"
"85","72","24","895.701822105","high_load","1","1","1","","6","2","Female","Right-handed","no","down","s","969.79069584","528.643259272","19","red","5","circle"
"85","70","24","895.864149866","high_load","1","0","1","1","2","0","Female","Right-handed","no","down","s","1026.30942584","785.222860728","19","red","7","circle"
"85","71","24","907.123958453","high_load","1","1","1","7","0","1","Female","Right-handed","no","left","d","2513.73841181","696.725769921","19","red","6","diamond"
"85","70","24","904.997695772","high_load","1","0","1","","6","1","Female","Right-handed","no","left","s","725.676914324","816.409379464","19","red","6","circle"
"86","69","24","903.728525937","high_load","1","0","1","7","0","2","Female","Right-handed","no","down","s","940.086836435","704.916476537","19","red","1","diamond"
"86","69","24","902.890925725","high_load","1","1","1","","6","4","Female","Right-handed","no","left","s","1168.39392363","528.499900258","19","red","3","diamond"
"86","70","24","898.13298543","high_load","1","1","1","","6","0","Female","Right-handed","no","down","s","575.133593283","593.084258539","19","green","7","diamond"
"86","70","24","899.420799588","high_load","1","1","1","5","2","2","Female","Right-handed","no","down","d","722.771889831","1248.63680651","19","red","1","circle"
"86","71","24","900.000627018","high_load","1","1","1","7","0","1","Female","Right-handed","no","left","s","1278.60782041","600.24996424","19","green","6","circle"
"87","71","24","894.827222837","high_load","1","1","1","","6","3","Female","Right-handed","no","down","s","618.939874524","456.784794067","19","red","4","circle"
"87","71","24","889.224149617","high_load","1","1","1","4","3","0","Female","Right-handed","no","down","s","577.57069652","416.447351963","19","red","7","diamond"
"87","72","24","886.446703231","high_load","1","1","1","1","2","1","Female","Right-handed","no","down","d","770.320578978","608.175440645","19","red","6","circle"
