"acc_1","acc_2","age","avg_rt","condition","correct_1","correct_2","count_block_loop","dis_position","distance_dis","distance_tar","gender","hand","practice","response_keyboard_response_1","response_keyboard_response_2","response_time_keyboard_response_1","response_time_keyboard_response_2","subject_nr","tar_color","tar_position","tar_shape"
"100","100","20","1114.31599433","high_load","1","1","0","","6","3","Female","Right-handed","yes","left","d","1027.26587273","1201.36611593","17","red","0","diamond"
"100","100","20","1071.36797928","high_load","1","1","0","","6","4","Female","Right-handed","yes","down","s","934.994357027","1121.84557143","17","green","1","diamond"
"100","100","20","1209.61265052","high_load","1","1","0","","6","0","Female","Right-handed","yes","down","d","1362.7368758","1609.46711024","17","red","5","circle"
"100","75","20","1150.34110403","high_load","1","0","0","","6","2","Female","Right-handed","yes","left","s","855.179075808","1089.87385333","17","red","7","diamond"
"100","80","20","1091.30664582","high_load","1","1","0","","6","2","Female","Right-handed","yes","left","s","772.784928466","937.552697418","17","green","3","circle"
"100","83","20","1074.39175674","high_load","1","1","0","","6","3","Female","Right-handed","yes","down","d","794.484478536","1185.15014415","17","red","2","circle"
"100","85","20","1069.53427062","high_load","1","1","0","","6","2","Female","Right-handed","yes","down","d","758.927491881","1321.851216","17","red","7","diamond"
"100","87","20","1052.90943068","high_load","1","1","0","","6","3","Female","Right-handed","yes","down","d","943.699834223","929.371267885","17","green","0","circle"
"100","77","20","1042.75118537","high_load","1","0","0","","6","2","Female","Right-handed","yes","down","d","1041.06782568","881.902620142","17","red","7","circle"
"90","80","20","1037.43533191","high_load","0","1","0","","6","1","Female","Right-handed","yes","down","s","875.657665383","1103.52763614","17","green","6","diamond"
"90","72","20","1034.71903229","high_load","1","0","0","","6","1","Female","Right-handed","yes","down","s","918.291861193","1096.82021092","17","red","4","circle"
"91","75","20","1040.17499632","high_load","1","1","0","","6","3","Female","Right-handed","yes","left","s","686.73238964","1513.64881174","17","red","0","diamond"
"92","76","20","1019.18128667","high_load","1","1","0","","6","1","Female","Right-handed","yes","down","s","813.293427884","721.22011381","17","green","6","diamond"
"92","78","20","1015.20612167","high_load","1","1","0","","6","3","Female","Right-handed","yes","left","s","869.215150429","1057.84280302","17","green","2","circle"
"93","80","20","1012.15194047","high_load","1","1","0","","6","2","Female","Right-handed","yes","left","d","745.486984279","1193.29982293","17","red","3","diamond"
"93","75","20","1035.21057479","high_load","1","0","0","","6","4","Female","Right-handed","yes","down","d","1848.19006317","913.990116218","17","green","1","circle"
"94","76","20","1055.82418757","high_load","1","1","0","","6","1","Female","Right-handed","yes","down","s","1401.79157592","1369.4924082","17","green","4","circle"
"94","77","20","1047.12186617","high_load","1","1","0","","6","3","Female","Right-handed","yes","left","s","725.311470005","1073.05333452","17","red","2","circle"
"89","78","20","1020.36658422","high_load","0","1","0","","6","2","Female","Right-handed","yes","down","s","666.916075723","410.626942528","17","red","3","circle"
"90","80","20","1028.40845859","high_load","1","1","0","","6","1","Female","Right-handed","yes","left","d","1377.32233453","985.085808798","17","red","4","diamond"
"90","80","20","1021.83627376","high_load","1","1","0","","6","0","Female","Right-handed","yes","down","s","947.030134665","833.755019585","17","red","5","circle"
"90","81","20","1004.04932072","high_load","1","1","0","","6","2","Female","Right-handed","yes","down","s","659.56657987","601.480033753","17","green","3","circle"
"0","100","20","1081.55900652","high_load","0","1","1","1","4","1","Female","Right-handed","no","down","d","1365.70059945","797.417413585","17","red","4","circle"
"50","100","20","1001.09900877","high_load","1","1","1","5","0","2","Female","Right-handed","no","left","s","1232.27979655","608.998225487","17","green","3","circle"
"66","66","20","904.186886386","high_load","1","0","1","","6","4","Female","Right-handed","no","down","s","875.107319123","545.617964124","17","red","1","circle"
"75","75","20","904.705228001","high_load","1","1","1","5","0","1","Female","Right-handed","no","left","d","1003.3601269","809.160378789","17","red","6","circle"
"80","80","20","991.430345438","high_load","1","1","1","6","1","2","Female","Right-handed","no","left","d","1378.9159654","1297.74566498","17","red","3","diamond"
"83","83","20","972.299585712","high_load","1","1","1","5","0","4","Female","Right-handed","no","down","s","1040.28784777","713.003726383","17","red","1","diamond"
"85","85","20","967.045933066","high_load","1","1","1","4","1","2","Female","Right-handed","no","left","d","965.070010394","905.978023995","17","green","3","diamond"
"87","87","20","929.814114618","high_load","1","1","1","","6","0","Female","Right-handed","no","left","s","656.792077836","681.590693119","17","green","5","circle"
"88","88","20","920.855190479","high_load","1","1","1","5","0","2","Female","Right-handed","no","left","s","953.342760206","745.024834536","17","red","7","circle"
"90","80","20","890.668391684","high_load","1","0","1","","6","3","Female","Right-handed","no","down","s","716.13101448","521.843390568","17","green","0","circle"
