"acc_1","acc_2","age","avg_rt","condition","correct_1","correct_2","count_block_loop","dis_position","distance_dis","distance_tar","gender","hand","practice","response_keyboard_response_1","response_keyboard_response_2","response_time_keyboard_response_1","response_time_keyboard_response_2","subject_nr","tar_position"
"0","100","20","1148.7311284","low_load","0","1","0","","6","3","Female","Left-handed","yes","left","d","1002.16289304","1295.29936376","28","3"
"50","50","20","1174.60574667","low_load","1","0","0","","6","3","Female","Left-handed","yes","down","d","911.14467202","1489.81605787","28","5"
"66","66","20","1035.61167261","low_load","1","1","0","","6","4","Female","Left-handed","yes","left","d","809.610890923","705.636158033","28","4"
"75","50","20","968.579961618","low_load","1","0","0","","6","2","Female","Left-handed","yes","left","d","620.547612198","914.422045098","28","6"
"80","60","20","924.88263483","low_load","1","1","0","","6","1","Female","Left-handed","yes","left","d","642.178787602","858.007867748","28","7"
"83","66","20","883.82098917","low_load","1","1","0","","6","4","Female","Left-handed","yes","left","d","595.597050196","761.428471553","28","4"
"85","71","20","858.465755247","low_load","1","1","0","","6","1","Female","Left-handed","yes","down","d","715.226779852","697.441923563","28","7"
"87","75","20","857.993054785","low_load","1","1","0","","6","2","Female","Left-handed","yes","down","s","659.2696195","1050.0986836","28","6"
"88","77","20","863.852197463","low_load","1","1","0","","6","4","Female","Left-handed","yes","left","s","795.658883799","1025.79179397","28","4"
"90","80","20","889.195492947","low_load","1","1","0","","6","1","Female","Left-handed","yes","left","d","737.21490959","1497.35539501","28","1"
"81","81","20","879.004773561","low_load","0","1","0","","6","2","Female","Left-handed","yes","down","s","645.061362142","909.133797264","28","2"
"83","83","20","890.810770058","low_load","1","1","0","","6","2","Female","Left-handed","yes","left","d","591.54066362","1449.81279943","28","2"
"84","84","20","904.475011693","low_load","1","1","0","","6","3","Female","Left-handed","yes","down","d","1151.44099863","985.45082401","28","3"
"85","85","20","891.832794825","low_load","1","1","0","","6","0","Female","Left-handed","yes","left","s","668.982112504","785.985838564","28","0"
"86","86","20","904.214070821","low_load","1","1","0","","6","3","Female","Left-handed","yes","down","d","753.455529513","1401.64834002","28","5"
"87","87","20","918.144919526","low_load","1","1","0","","6","0","Female","Left-handed","yes","left","s","1045.12056589","1209.09473432","28","0"
"88","88","20","917.776125327","low_load","1","1","0","","6","3","Female","Left-handed","yes","down","s","821.763694315","1001.98714195","28","3"
"88","88","20","902.989422079","low_load","1","1","0","","6","4","Female","Left-handed","yes","left","s","621.556898142","681.674035601","28","4"
"89","89","20","907.374471738","low_load","1","1","0","","6","1","Female","Left-handed","yes","left","s","707.263779943","1265.34695126","28","1"
"90","90","20","907.792219871","low_load","1","1","0","","6","1","Female","Left-handed","yes","left","d","701.702604783","1129.75626402","28","1"
"90","90","20","919.876812044","low_load","1","1","0","","6","1","Female","Left-handed","yes","left","d","1017.62931015","1305.50800083","28","1"
"90","90","20","927.07326669","low_load","1","1","0","","6","0","Female","Left-handed","yes","down","s","755.167178417","1401.23045009","28","0"
"91","91","20","920.959200786","low_load","1","1","0","","6","0","Female","Left-handed","yes","down","d","699.076280463","873.823221336","28","0"
"91","91","20","917.584883289","low_load","1","1","0","","6","2","Female","Left-handed","yes","left","d","502.473985311","1177.47717642","28","6"
"92","88","20","926.69103663","low_load","1","0","0","","6","2","Female","Left-handed","yes","left","d","633.207463907","1657.26996973","28","2"
"92","88","20","936.563605491","low_load","1","1","0","","6","2","Female","Left-handed","yes","down","d","732.928571291","1633.82708274","28","2"
"92","88","20","943.354873177","low_load","1","1","0","","6","3","Female","Left-handed","yes","left","d","678.53328654","1561.32237946","28","3"
"92","89","20","938.328689781","low_load","1","1","0","","6","3","Female","Left-handed","yes","down","s","676.10323902","929.140237189","28","5"
