"acc_1","acc_2","age","avg_rt","condition","correct_1","correct_2","count_block_loop","dis_position","distance_dis","distance_tar","gender","hand","practice","response_keyboard_response_1","response_keyboard_response_2","response_time_keyboard_response_1","response_time_keyboard_response_2","subject_nr","tar_position"
"100","0","18","1251.83248307","high_load","1","0","0","","6","3","Female","Right-handed","yes","down","d","1037.62719942","1466.03776671","23","0"
"100","50","18","1160.21787105","high_load","1","1","0","","6","2","Female","Right-handed","yes","left","d","1039.72114507","1097.48537301","23","1"
"100","33","18","1068.75196371","high_load","1","0","0","","6","0","Female","Right-handed","yes","left","s","849.199672743","922.440625303","23","3"
"100","50","18","1017.57487964","high_load","1","1","0","","6","4","Female","Right-handed","yes","down","d","877.997278416","850.089976482","23","7"
"100","60","18","978.687327957","high_load","1","1","0","","6","0","Female","Right-handed","yes","down","s","788.500585464","857.773656951","23","3"
"100","50","18","961.368001727","high_load","1","0","0","","6","4","Female","Right-handed","yes","left","s","731.197865837","1018.34487532","23","7"
"100","42","18","977.092157662","high_load","1","0","0","","6","2","Female","Right-handed","yes","down","d","836.849274078","1306.02491247","23","5"
"100","50","18","956.345671171","high_load","1","1","0","","6","4","Female","Right-handed","yes","down","d","756.596217428","865.644314035","23","7"
"100","55","18","990.768711211","high_load","1","1","0","","6","1","Female","Right-handed","yes","down","s","1434.03237357","1098.2736895","23","2"
"100","50","18","1040.07765142","high_load","1","0","0","","6","1","Female","Right-handed","yes","left","d","877.722746715","2089.99347987","23","2"
"100","45","18","1018.01958324","high_load","1","0","0","","6","0","Female","Right-handed","yes","left","d","673.348327809","921.529475115","23","3"
"100","41","18","1005.1083422","high_load","1","0","0","","6","1","Female","Right-handed","yes","down","d","772.097957785","954.071423784","23","4"
"100","38","18","997.330248289","high_load","1","0","0","","6","2","Female","Right-handed","yes","down","s","918.261393305","889.72484932","23","1"
"92","42","18","1000.9754191","high_load","0","1","0","","6","4","Female","Right-handed","yes","down","s","1199.25228597","897.472993424","23","7"
"93","46","18","988.872208166","high_load","1","1","0","","6","3","Female","Right-handed","yes","left","s","964.892334504","673.962175561","23","0"
"93","50","18","975.296887513","high_load","1","1","0","","6","0","Female","Right-handed","yes","down","s","669.61617197","873.717983462","23","3"
"94","52","18","957.776281151","high_load","1","1","0","","6","2","Female","Right-handed","yes","left","s","673.480141512","681.413017229","23","1"
"94","55","18","949.648813946","high_load","1","1","0","","6","3","Female","Right-handed","yes","down","d","660.903318338","962.060424556","23","0"
"94","57","18","941.622270341","high_load","1","1","0","","6","3","Female","Right-handed","yes","down","d","648.600385435","945.688585479","23","0"
"90","60","18","938.934295841","high_load","0","1","0","","6","2","Female","Right-handed","yes","left","d","809.279043193","966.446517473","23","1"
"85","61","18","931.302053794","high_load","0","1","0","","6","4","Female","Right-handed","yes","left","d","670.095319587","887.219106123","23","7"
"86","63","18","927.041597005","high_load","1","1","0","","6","1","Female","Right-handed","yes","down","d","905.548907855","769.595101021","23","4"
"86","65","18","924.402715415","high_load","1","1","0","","6","3","Female","Right-handed","yes","left","d","915.228395302","817.46624559","23","6"
"87","66","18","922.930757396","high_load","1","1","0","","6","2","Female","Right-handed","yes","left","s","720.055919798","1058.09552613","23","5"
"88","68","18","916.799473515","high_load","1","1","0","","6","1","Female","Right-handed","yes","down","d","705.483610361","833.813710357","23","4"
"88","69","18","909.744835514","high_load","1","1","0","","6","2","Female","Right-handed","yes","left","d","689.45846377","777.299307224","23","5"
"88","70","18","907.291522531","high_load","1","1","0","","6","1","Female","Right-handed","yes","left","s","662.046345184","1024.96442473","23","2"
"89","71","18","909.969597859","high_load","1","1","0","","6","1","Female","Right-handed","yes","down","s","834.750517713","1129.80474574","23","2"
"89","72","18","911.120190529","high_load","1","1","0","","6","1","Female","Right-handed","yes","down","s","645.226788522","1241.44678206","23","4"
"90","73","18","905.104841069","high_load","1","1","0","","6","1","Female","Right-handed","yes","down","s","564.083428131","897.235985333","23","4"
"90","74","18","902.56128062","high_load","1","1","0","","6","1","Female","Right-handed","yes","left","s","770.736524294","881.772410013","23","2"
"90","75","18","923.083121889","high_load","1","1","0","","6","3","Female","Right-handed","yes","left","s","2461.17541261","657.344989813","23","6"
"0","0","18","1178.51536079","high_load","0","0","1","0","3","1","Female","Right-handed","no","left","d","1686.45529222","670.575429349","23","2"
"50","50","18","1169.51145865","high_load","1","1","1","","6","3","Female","Right-handed","no","left","s","1414.95177896","906.063334079","23","6"
"33","66","18","1229.7378126","high_load","0","1","1","3","0","1","Female","Right-handed","no","down","d","1962.67940374","737.701637279","23","2"
"50","75","18","1175.51768148","high_load","1","1","1","3","0","1","Female","Right-handed","no","down","d","1320.34000879","705.374567396","23","4"
"60","80","18","1096.52371027","high_load","1","1","1","3","0","2","Female","Right-handed","no","left","s","686.959134866","874.136516019","23","5"
"66","83","18","1041.21166619","high_load","1","1","1","3","0","2","Female","Right-handed","no","left","d","879.546650664","649.756240866","23","1"
"71","71","18","1031.92232805","high_load","1","0","1","3","0","3","Female","Right-handed","no","left","d","687.002110622","1265.37048791","23","6"
"75","62","18","974.621272134","high_load","1","0","1","1","2","3","Female","Right-handed","no","left","d","544.912712709","602.115048667","23","6"
"77","66","18","950.565692453","high_load","1","1","1","","6","2","Female","Right-handed","no","left","d","602.578481268","913.663628751","23","5"
"80","70","18","947.63716723","high_load","1","1","1","3","0","1","Female","Right-handed","no","left","s","801.155663002","1041.40521745","23","2"
"72","72","18","949.29745571","high_load","0","1","1","3","0","4","Female","Right-handed","no","down","d","860.966050114","1070.83463089","23","7"
"75","75","18","982.951827277","high_load","1","1","1","1","2","1","Female","Right-handed","no","left","d","1096.59186212","1609.7079669","23","2"
"76","76","18","966.276526397","high_load","1","1","1","3","0","3","Female","Right-handed","no","left","s","675.020213038","857.32561865","23","6"
"78","78","18","979.253212839","high_load","1","1","1","","6","3","Female","Right-handed","no","left","s","629.849806144","1666.05046701","23","0"
"80","80","18","964.47103311","high_load","1","1","1","","6","1","Female","Right-handed","no","down","d","833.463810724","681.577223106","23","4"
"81","81","18","969.764600693","high_load","1","1","1","","6","0","Female","Right-handed","no","down","s","1408.96275445","689.373474401","23","3"
"82","82","18","963.213893492","high_load","1","1","1","3","0","3","Female","Right-handed","no","down","s","954.777316626","762.027839952","23","6"
"83","83","18","951.875544346","high_load","1","1","1","3","0","3","Female","Right-handed","no","down","s","764.581369624","753.665848096","23","6"
"84","84","18","954.584373032","high_load","1","1","1","","6","3","Female","Right-handed","no","down","d","973.294094971","1033.3924838","23","0"
"85","85","18","942.851046989","high_load","1","1","1","3","0","4","Female","Right-handed","no","left","d","637.825016189","802.010688135","23","7"
"85","85","18","943.741710387","high_load","1","1","1","6","3","1","Female","Right-handed","no","down","d","1153.46867276","769.641283923","23","4"
"86","86","18","967.603167401","high_load","1","1","1","","6","1","Female","Right-handed","no","down","s","800.14252557","2137.24500383","23","4"
"86","86","18","962.570472328","high_load","1","1","1","3","0","2","Female","Right-handed","no","down","s","973.831291932","729.871069522","23","1"
"87","83","18","960.481713602","high_load","1","0","1","3","0","1","Female","Right-handed","no","down","d","839.353413702","985.52711209","23","2"
"88","84","18","954.448077428","high_load","1","1","1","2","1","3","Female","Right-handed","no","down","s","666.106271349","953.175347181","23","6"
