"acc_1","acc_2","age","avg_rt","condition","correct_1","correct_2","count_block_loop","dis_position","distance_dis","distance_tar","gender","hand","practice","response_keyboard_response_1","response_keyboard_response_2","response_time_keyboard_response_1","response_time_keyboard_response_2","subject_nr","tar_position"
"100","100","18","2733.69702222","high_load","1","1","0","","6","1","Female","Left-handed","yes","left","d","2785.05355107","2682.34049336","24","7"
"100","100","18","2237.36416591","high_load","1","1","0","","6","1","Female","Left-handed","yes","left","s","1248.46389849","2233.5987207","24","7"
"100","100","18","2068.7983396","high_load","1","1","0","","6","1","Female","Left-handed","yes","left","d","1469.01658072","1994.31679323","24","1"
"100","100","18","1926.66113527","high_load","1","1","0","","6","2","Female","Left-handed","yes","down","s","1390.66594226","1609.83310231","24","2"
"100","100","18","2042.89304089","high_load","1","1","0","","6","1","Female","Left-handed","yes","left","d","1357.21135435","3658.42997244","24","1"
"100","100","18","1974.53889159","high_load","1","1","0","","6","1","Female","Left-handed","yes","down","d","1207.73435691","2057.80193319","24","7"
"100","85","18","1945.31125362","high_load","1","0","0","","6","4","Female","Left-handed","yes","left","d","1282.33414305","2257.55670859","24","4"
"100","75","18","1801.01834678","high_load","1","0","0","","6","3","Female","Left-handed","yes","left","s","795.975442902","785.960554953","24","3"
"100","77","18","1771.47153147","high_load","1","1","0","","6","3","Female","Left-handed","yes","left","s","1316.59117923","1753.60283878","24","3"
"100","70","18","1742.54071094","high_load","1","0","0","","6","2","Female","Left-handed","yes","down","s","1698.15340681","1266.17324544","24","6"
"100","63","18","1664.42756037","high_load","1","0","0","","6","1","Female","Left-handed","yes","down","s","1020.60386958","745.988239739","24","7"
"100","66","18","1605.67506575","high_load","1","1","0","","6","1","Female","Left-handed","yes","down","s","949.351145846","969.444104122","24","7"
"92","61","18","1554.70233304","high_load","0","0","0","","6","2","Female","Left-handed","yes","down","s","685.078824025","1200.98025695","24","2"
"92","57","18","1534.23605175","high_load","1","0","0","","6","0","Female","Left-handed","yes","down","s","1302.63685399","1233.71193582","24","0"
"93","53","18","1493.97151383","high_load","1","0","0","","6","4","Female","Left-handed","yes","left","s","1083.14897122","777.38699495","24","4"
"93","56","18","1455.62756939","high_load","1","1","0","","6","2","Female","Left-handed","yes","left","s","1054.93467199","706.002133448","24","6"
"94","58","18","1430.16190876","high_load","1","1","0","","6","4","Female","Left-handed","yes","down","d","979.681573645","1065.74110363","24","4"
"88","61","18","1389.44330267","high_load","0","1","0","","6","0","Female","Left-handed","yes","down","s","656.081319889","738.372678529","24","0"
"89","63","18","1363.86770984","high_load","1","1","0","","6","3","Female","Left-handed","yes","left","d","940.94532383","866.068753973","24","3"
"90","65","18","1344.42850096","high_load","1","1","0","","6","2","Female","Left-handed","yes","down","s","884.584397866","1065.5826666","24","6"
"90","66","18","1313.73004994","high_load","1","1","0","","6","2","Female","Left-handed","yes","down","s","694.145014141","705.377044848","24","6"
"90","63","18","1288.55704599","high_load","1","0","0","","6","4","Female","Left-handed","yes","down","d","813.760480417","706.087445693","24","4"
"91","65","18","1271.25869476","high_load","1","1","0","","6","1","Female","Left-handed","yes","down","s","955.636349175","825.753586161","24","1"
"91","66","18","1244.36103293","high_load","1","1","0","","6","3","Female","Left-handed","yes","down","s","674.000098782","577.429522784","24","5"
