"acc_1","acc_2","age","avg_rt","condition","correct_1","correct_2","count_block_loop","dis_position","distance_dis","distance_tar","gender","hand","practice","response_keyboard_response_1","response_keyboard_response_2","response_time_keyboard_response_1","response_time_keyboard_response_2","subject_nr","tar_position"
"100","100","18","985.672876877","high_load","1","1","0","","6","2","Female","Right-handed","yes","left","d","865.424624531","1105.92112922","5","7"
"100","100","18","941.229369631","high_load","1","1","0","","6","4","Female","Right-handed","yes","down","d","792.170201956","1001.40152282","5","5"
"100","100","18","1000.14854431","high_load","1","1","0","","6","2","Female","Right-handed","yes","left","s","833.838084665","1402.13570269","5","3"
"100","100","18","1006.05300707","high_load","1","1","0","","6","2","Female","Right-handed","yes","down","s","749.644728399","1297.88806226","5","7"
"100","80","18","990.116473922","high_load","1","0","0","","6","3","Female","Right-handed","yes","left","d","763.276061189","1089.46462149","5","4"
"100","83","18","983.026740863","high_load","1","1","0","","6","3","Female","Right-handed","yes","left","d","797.062703234","1098.0934479","5","4"
"100","85","18","1049.31907937","high_load","1","1","0","","6","2","Female","Right-handed","yes","down","d","1684.56307606","1209.58314478","5","3"
"100","87","18","1033.56462736","high_load","1","1","0","","6","4","Female","Right-handed","yes","down","s","901.311305799","945.255620765","5","5"
"100","88","18","1024.59679671","high_load","1","1","0","","6","0","Female","Right-handed","yes","down","s","943.781616446","961.926686567","5","1"
"100","90","18","1028.69860107","high_load","1","1","0","","6","0","Female","Right-handed","yes","down","d","969.472780471","1161.75690026","5","1"
"100","90","18","1022.64415662","high_load","1","1","0","","6","3","Female","Right-handed","yes","left","d","1002.89573216","921.303692037","5","6"
"100","83","18","1040.87051939","high_load","1","0","0","","6","4","Female","Right-handed","yes","left","s","880.838168374","1601.88285129","5","5"
"100","84","18","1041.11112216","high_load","1","1","0","","6","1","Female","Right-handed","yes","down","d","974.482021862","1113.51468889","5","0"
"100","85","18","1027.33391004","high_load","1","1","0","","6","2","Female","Right-handed","yes","down","d","655.092611152","1041.36769384","5","7"
"100","80","18","1034.70140562","high_load","1","0","0","","6","1","Female","Right-handed","yes","down","d","929.776330428","1345.91635699","5","0"
"100","81","18","1023.30272219","high_load","1","1","0","","6","0","Female","Right-handed","yes","down","s","767.11373213","937.53120954","5","1"
"100","82","18","1071.45978855","high_load","1","1","0","","6","1","Female","Right-handed","yes","left","s","1785.82967425","1898.1160262","5","2"
"100","83","18","1082.52841986","high_load","1","1","0","","6","2","Female","Right-handed","yes","left","s","1027.68376386","1513.70654037","5","3"
"100","84","18","1070.38521689","high_load","1","1","0","","6","1","Female","Right-handed","yes","down","s","862.312730736","841.302396348","5","2"
"100","85","18","1071.43083934","high_load","1","1","0","","6","2","Female","Right-handed","yes","down","d","820.596099406","1361.99923221","5","7"
"100","85","18","1076.3728452","high_load","1","1","0","","6","3","Female","Right-handed","yes","down","d","1084.64011171","1265.78581332","5","4"
"100","86","18","1067.77639119","high_load","1","1","0","","6","3","Female","Right-handed","yes","left","s","725.185108451","1049.31660529","5","4"
"100","86","18","1070.76016235","high_load","1","1","0","","6","3","Female","Right-handed","yes","down","d","878.835626387","1393.9706296","5","6"
"100","87","18","1068.93385566","high_load","1","1","0","","6","3","Female","Right-handed","yes","down","s","1044.36990324","1009.48770011","5","6"
"100","88","18","1059.10301257","high_load","1","1","0","","6","1","Female","Right-handed","yes","left","s","725.022506147","921.303050603","5","2"
"100","84","18","1067.3008617","high_load","1","0","0","","6","3","Female","Right-handed","yes","left","d","934.625214515","1609.86896564","5","4"
