"acc_1","acc_2","age","avg_rt","condition","correct_1","correct_2","count_block_loop","dis_position","distance_dis","distance_tar","gender","hand","practice","response_keyboard_response_1","response_keyboard_response_2","response_time_keyboard_response_1","response_time_keyboard_response_2","subject_nr","tar_position"
"100","0","19","3478.51670303","high_load","1","0","0","","6","1","Female","Right-handed","yes","down","None","1956.94873714","5000.08466893","14","7"
"100","50","19","2471.61810979","high_load","1","1","0","","6","4","Female","Right-handed","yes","down","s","1335.59010233","1593.84893075","14","2"
"100","66","19","2236.51933311","high_load","1","1","0","","6","2","Female","Right-handed","yes","left","d","1515.20111917","2017.44244036","14","4"
"100","75","19","2141.60513203","high_load","1","1","0","","6","2","Female","Right-handed","yes","down","s","1343.76963381","2369.95542373","14","4"
"100","80","19","2004.76285164","high_load","1","1","0","","6","3","Female","Right-handed","yes","left","s","1281.38178406","1633.40567609","14","1"
"100","83","19","1971.87810326","high_load","1","1","0","","6","3","Female","Right-handed","yes","down","s","1508.84998751","2106.05873522","14","3"
"85","85","19","1950.12026607","high_load","0","1","0","","6","0","Female","Right-handed","yes","down","d","1915.55204621","1723.59443969","14","6"
"87","75","19","1891.54543883","high_load","1","0","0","","6","2","Female","Right-handed","yes","down","d","1376.9037279","1586.13956839","14","0"
"88","77","19","1827.45176499","high_load","1","1","0","","6","2","Female","Right-handed","yes","left","s","1219.66839928","1409.7363493","14","0"
"90","80","19","1762.88317901","high_load","1","1","0","","6","4","Female","Right-handed","yes","down","s","1010.18336275","1353.34844759","14","2"
"90","81","19","1736.60040614","high_load","1","1","0","","6","1","Female","Right-handed","yes","down","s","1761.55530404","1185.99005076","14","7"
"91","83","19","1715.17299508","high_load","1","1","0","","6","1","Female","Right-handed","yes","left","s","1493.41650986","1465.52643707","14","5"
"92","84","19","1686.32111564","high_load","1","1","0","","6","1","Female","Right-handed","yes","down","d","1150.0622028","1530.13492186","14","5"
"92","85","19","1645.52388188","high_load","1","1","0","","6","1","Female","Right-handed","yes","down","d","924.495843044","1305.82384309","14","5"
"93","86","19","1622.73808619","high_load","1","1","0","","6","2","Female","Right-handed","yes","down","s","950.096647655","1657.37724529","14","0"
"93","81","19","1575.08930126","high_load","1","0","0","","6","4","Female","Right-handed","yes","down","d","734.744118638","985.970936108","14","2"
"94","82","19","1553.78768086","high_load","1","1","0","","6","3","Female","Right-handed","yes","down","s","1360.44043236","1065.48307632","14","3"
"88","77","19","1563.32662895","high_load","0","0","0","","6","3","Female","Right-handed","yes","down","d","1366.00549001","2084.97200313","14","1"
"89","78","19","1557.4234756","high_load","1","1","0","","6","3","Female","Right-handed","yes","left","s","1668.673812","1233.65961873","14","3"
"90","80","19","1526.74122129","high_load","1","1","0","","6","2","Female","Right-handed","yes","left","s","854.113194016","1033.44358468","14","0"
"90","80","19","1532.53355407","high_load","1","1","0","","6","3","Female","Right-handed","yes","down","s","1574.63742296","1722.12299637","14","1"
"90","77","19","1518.05348382","high_load","1","0","0","","6","0","Female","Right-handed","yes","left","s","1090.4411668","1337.50285036","14","6"
"91","78","19","1505.27323431","high_load","1","1","0","","6","1","Female","Right-handed","yes","down","d","1334.92237239","1113.29311773","14","5"
