"acc_1","acc_2","age","avg_rt","condition","correct_1","correct_2","count_block_loop","dis_position","distance_dis","distance_tar","gender","hand","practice","response_keyboard_response_1","response_keyboard_response_2","response_time_keyboard_response_1","response_time_keyboard_response_2","subject_nr","tar_position"
"100","0","21","2713.54736268","low_load","1","0","0","","6","3","Male","Right-handed","yes","left","d","2841.08348626","2586.01123909","19","0"
"50","50","21","2444.22789144","low_load","0","1","0","","6","1","Male","Right-handed","yes","left","s","2544.2905589","1805.52628152","19","2"
"66","66","21","2092.17968561","low_load","1","1","0","","6","1","Male","Right-handed","yes","left","s","1310.15578346","1466.01076443","19","2"
"75","75","21","2142.68062434","low_load","1","1","0","","6","2","Male","Right-handed","yes","down","d","2194.7533808","2393.61350025","19","1"
"80","60","21","2085.9762813","low_load","1","0","0","","6","2","Male","Right-handed","yes","left","d","1828.16674289","1890.15107538","19","5"
"83","66","21","1954.83808877","low_load","1","1","0","","6","3","Male","Right-handed","yes","left","d","1292.65572092","1305.63853131","19","6"
"71","57","21","1913.60413358","low_load","0","0","0","","6","0","Male","Right-handed","yes","left","d","2080.24929716","1252.15150771","19","3"
"62","50","21","1916.11633536","low_load","0","0","0","","6","1","Male","Right-handed","yes","left","d","2864.53086324","1002.87263241","19","4"
"66","44","21","1812.3560931","low_load","1","0","0","","6","2","Male","Right-handed","yes","left","s","1115.22023729","849.328072774","19","5"
"70","40","21","1775.81557488","low_load","1","0","0","","6","1","Male","Right-handed","yes","down","d","1243.90563834","1649.99618351","19","2"
"72","45","21","1739.1110709","low_load","1","1","0","","6","3","Male","Right-handed","yes","down","s","1726.55631123","1017.57575097","19","6"
"75","50","21","1677.61637951","low_load","1","1","0","","6","2","Male","Right-handed","yes","left","d","1153.09684334","849.252705059","19","5"
"76","53","21","1645.59115647","low_load","1","1","0","","6","4","Male","Right-handed","yes","down","d","1720.71643587","801.860524187","19","7"
"78","57","21","1614.93853614","low_load","1","1","0","","6","0","Male","Right-handed","yes","left","s","1015.51965558","1417.38928804","19","3"
"80","60","21","1576.98040161","low_load","1","1","0","","6","0","Male","Right-handed","yes","left","s","904.955860176","1186.17717635","19","3"
"81","62","21","1526.21691999","low_load","1","1","0","","6","1","Male","Right-handed","yes","left","d","999.698208429","529.831182735","19","4"
"82","64","21","1503.48886488","low_load","1","1","0","","6","1","Male","Right-handed","yes","down","d","1182.37800212","1097.30196412","19","2"
"83","66","21","1493.04285618","low_load","1","1","0","","6","4","Male","Right-handed","yes","down","d","1429.1780814","1201.74333541","19","7"
"84","68","21","1493.15040827","low_load","1","1","0","","6","1","Male","Right-handed","yes","left","d","1148.57798762","1841.59470386","19","4"
"85","70","21","1501.26104618","low_load","1","1","0","","6","1","Male","Right-handed","yes","down","d","805.522112246","2505.20422085","19","4"
"85","71","21","1481.71742663","low_load","1","1","0","","6","2","Male","Right-handed","yes","down","s","1411.87718206","769.812889226","19","1"
"86","68","21","1505.15359182","low_load","1","0","0","","6","3","Male","Right-handed","yes","left","d","2033.2772512","1961.34887041","19","0"
"86","69","21","1513.00829318","low_load","1","1","0","","6","3","Male","Right-handed","yes","left","d","1937.70874451","1433.91470171","19","6"
"87","70","21","1508.21909646","low_load","1","1","0","","6","3","Male","Right-handed","yes","down","s","1210.70664127","1585.42850234","19","0"
"88","72","21","1480.77396549","low_load","1","1","0","","6","3","Male","Right-handed","yes","down","d","1019.02473536","625.156909166","19","6"
"88","73","21","1470.16097828","low_load","1","1","0","","6","3","Male","Right-handed","yes","left","s","1007.9418328","1401.73076343","19","0"
"88","70","21","1444.02429171","low_load","1","0","0","","6","2","Male","Right-handed","yes","down","d","935.522760088","593.418121477","19","1"
"89","71","21","1439.11568106","low_load","1","1","0","","6","0","Male","Right-handed","yes","left","d","1948.11590336","665.05048354","19","3"
"89","72","21","1415.89559173","low_load","1","1","0","","6","3","Male","Right-handed","yes","left","s","937.746909442","593.71927162","19","6"
"90","73","21","1402.06461568","low_load","1","1","0","","6","3","Male","Right-handed","yes","down","s","816.537344222","1185.3952764","19","0"
"90","74","21","1378.72376254","low_load","1","1","0","","6","2","Male","Right-handed","yes","left","s","860.040230324","496.956106485","19","5"
"90","75","21","1357.69583338","low_load","1","1","0","","6","1","Male","Right-handed","yes","left","s","553.826980103","857.833078794","19","4"
