"acc_1","acc_2","age","avg_rt","condition","correct_1","correct_2","count_block_loop","dis_position","distance_dis","distance_tar","gender","hand","practice","response_keyboard_response_1","response_keyboard_response_2","response_time_keyboard_response_1","response_time_keyboard_response_2","subject_nr","tar_position"
"0","100","18","3614.62564428","low_load","0","1","0","","6","1","Female","Right-handed","yes","None","s","3000.12764441","4229.12364414","23","0"
"50","100","18","2514.86776777","low_load","1","1","0","","6","0","Female","Right-handed","yes","left","d","1484.73735238","1345.48243013","23","7"
"66","66","18","2299.61158254","low_load","1","0","0","","6","2","Female","Right-handed","yes","down","d","1088.1516159","2650.0468083","23","1"
"75","50","18","2023.87415544","low_load","1","0","0","","6","1","Female","Right-handed","yes","left","d","1103.72744134","1289.59630691","23","0"
"60","60","18","1948.43800763","low_load","0","1","0","","6","3","Female","Right-handed","yes","left","d","1903.26798559","1390.11884721","23","4"
"66","66","18","1870.76294583","low_load","1","1","0","","6","3","Female","Right-handed","yes","down","s","1666.98727437","1297.78799931","23","4"
"71","71","18","1782.14415947","low_load","1","1","0","","6","2","Female","Right-handed","yes","down","s","1075.45035546","1425.41252718","23","1"
"75","75","18","1695.58198796","low_load","1","1","0","","6","3","Female","Right-handed","yes","down","d","1121.06463137","1058.2289434","23","2"
"66","77","18","1659.3157276","low_load","0","1","0","","6","3","Female","Right-handed","yes","left","s","1352.65425009","1385.71703928","23","4"
"60","80","18","1644.5082916","low_load","0","1","0","","6","4","Female","Right-handed","yes","down","s","1703.29601605","1319.18671908","23","3"
"63","81","18","1631.26248108","low_load","1","1","0","","6","0","Female","Right-handed","yes","left","s","1419.73716155","1577.87159036","23","7"
"66","83","18","1586.81527833","low_load","1","1","0","","6","2","Female","Right-handed","yes","left","s","1066.4491794","1129.34291671","23","5"
"69","84","18","1531.72043821","low_load","1","1","0","","6","3","Female","Right-handed","yes","left","d","922.973973689","818.190739879","23","2"
"71","85","18","1494.98140061","low_load","1","1","0","","6","2","Female","Right-handed","yes","down","d","1112.79276032","921.955063394","23","5"
"73","86","18","1471.64523705","low_load","1","1","0","","6","4","Female","Right-handed","yes","left","s","888.540129575","1401.33776475","23","3"
"68","87","18","1450.70363982","low_load","0","1","0","","6","2","Female","Right-handed","yes","left","d","1296.03721829","977.122144478","23","1"
"70","88","18","1433.14283389","low_load","1","1","0","","6","4","Female","Right-handed","yes","down","d","1270.56349877","1033.77637918","23","3"
