"acc_1","acc_2","age","avg_rt","condition","correct_1","correct_2","count_block_loop","dis_position","distance_dis","distance_tar","gender","hand","practice","response_keyboard_response_1","response_keyboard_response_2","response_time_keyboard_response_1","response_time_keyboard_response_2","subject_nr","tar_position"
"100","100","18","1395.75027621","low_load","1","1","0","","6","1","Female","Right-handed","yes","down","d","909.748451373","1881.75210105","16","5"
"100","100","18","1097.14231652","low_load","1","1","0","","6","2","Female","Right-handed","yes","down","s","675.488961975","921.579751674","16","2"
"100","100","18","1087.833665","low_load","1","1","0","","6","2","Female","Right-handed","yes","down","s","1000.14848858","1138.28423536","16","6"
"100","100","18","1022.70977218","low_load","1","1","0","","6","0","Female","Right-handed","yes","down","s","692.821395183","961.854792285","16","4"
"100","100","18","1062.53953949","low_load","1","1","0","","6","4","Female","Right-handed","yes","down","s","730.346350404","1713.37086705","16","0"
"100","100","18","1013.57336848","low_load","1","1","0","","6","4","Female","Right-handed","yes","down","d","591.193633272","946.291393596","16","0"
"100","100","18","967.740708067","low_load","1","1","0","","6","4","Female","Right-handed","yes","down","s","631.59503349","753.894457656","16","0"
"100","100","18","930.705685541","low_load","1","1","0","","6","1","Female","Right-handed","yes","left","s","741.359841057","601.561214656","16","3"
"100","100","18","912.712236303","low_load","1","1","0","","6","1","Female","Right-handed","yes","left","s","631.362518982","906.16676582","16","3"
"100","100","18","919.124879534","low_load","1","1","0","","6","2","Female","Right-handed","yes","left","d","879.853179114","1073.8241581","16","2"
"100","100","18","922.296829333","low_load","1","1","0","","6","3","Female","Right-handed","yes","left","s","746.588050037","1161.44460462","16","1"
"100","100","18","915.91437533","low_load","1","1","0","","6","2","Female","Right-handed","yes","down","s","745.078469638","946.336292948","16","2"
"100","100","18","905.871416887","low_load","1","1","0","","6","2","Female","Right-handed","yes","left","d","640.708319369","930.003511771","16","6"
"100","100","18","902.704716425","low_load","1","1","0","","6","0","Female","Right-handed","yes","down","s","857.391956922","865.683263926","16","4"
"100","100","18","913.038643911","low_load","1","1","0","","6","1","Female","Right-handed","yes","down","d","738.047230912","1377.38002652","16","3"
"100","100","18","902.491402976","low_load","1","1","0","","6","3","Female","Right-handed","yes","down","s","694.598447444","793.967130467","16","7"
"100","100","18","902.877473155","low_load","1","1","0","","6","3","Female","Right-handed","yes","down","d","672.5336224","1145.57556962","16","7"
"100","100","18","912.532416175","low_load","1","1","0","","6","0","Female","Right-handed","yes","left","d","576.042025795","1577.29086924","16","4"
"100","100","18","907.885955305","low_load","1","1","0","","6","1","Female","Right-handed","yes","left","s","670.811411491","977.687907803","16","5"
