"acc_1","acc_2","age","avg_rt","condition","correct_1","correct_2","count_block_loop","dis_position","distance_dis","distance_tar","gender","hand","practice","response_keyboard_response_1","response_keyboard_response_2","response_time_keyboard_response_1","response_time_keyboard_response_2","subject_nr","tar_position"
"100","100","20","1082.76127273","low_load","1","1","0","","6","2","Female","Right-handed","yes","down","s","1283.64755508","881.87499038","12","6"
"100","100","20","1012.33768275","low_load","1","1","0","","6","3","Female","Right-handed","yes","down","s","1305.47876053","578.34942501","12","3"
"100","100","20","926.918268566","low_load","1","1","0","","6","2","Female","Right-handed","yes","left","d","846.127991052","666.030889348","12","2"
"100","100","20","934.48637863","low_load","1","1","0","","6","3","Female","Right-handed","yes","down","d","1280.6343747","633.747042946","12","5"
"100","100","20","887.850580892","low_load","1","1","0","","6","1","Female","Right-handed","yes","down","d","825.200258631","577.414521253","12","7"
"100","100","20","891.641046349","low_load","1","1","0","","6","1","Female","Right-handed","yes","left","d","843.061250147","978.125497117","12","1"
"100","100","20","886.575968708","low_load","1","1","0","","6","1","Female","Right-handed","yes","left","s","798.637766646","913.733239086","12","7"
"87","100","20","891.311805477","low_load","0","1","0","","6","2","Female","Right-handed","yes","down","d","592.473046549","1256.45227918","12","6"
"88","100","20","938.331399738","low_load","1","1","0","","6","3","Female","Right-handed","yes","left","s","1794.97287977","834.003427874","12","3"
"90","100","20","934.002642106","low_load","1","1","0","","6","0","Female","Right-handed","yes","down","s","1148.4502086","641.637438228","12","0"
"90","100","20","946.03405458","low_load","1","1","0","","6","1","Female","Right-handed","yes","left","d","979.348408964","1153.34794969","12","1"
"91","100","20","951.272538183","low_load","1","1","0","","6","1","Female","Right-handed","yes","left","s","1455.86965614","561.922059493","12","7"
"92","100","20","957.881518693","low_load","1","1","0","","6","2","Female","Right-handed","yes","down","d","1408.75563829","665.622931348","12","2"
"92","100","20","954.983994613","low_load","1","1","0","","6","3","Female","Right-handed","yes","down","d","1161.34931468","673.283048447","12","5"
"93","100","20","958.945174122","low_load","1","1","0","","6","1","Female","Right-handed","yes","down","d","1242.96849743","785.834877075","12","7"
"93","100","20","973.299407258","low_load","1","1","0","","6","4","Female","Right-handed","yes","left","d","1327.64223366","1049.58357494","12","4"
"94","100","20","959.388416543","low_load","1","1","0","","6","4","Female","Right-handed","yes","left","s","871.379372718","602.245757495","12","4"
"88","100","20","977.134003799","low_load","0","1","0","","6","1","Female","Right-handed","yes","left","s","1139.67365925","1417.94431502","12","7"
"89","100","20","966.524360197","low_load","1","1","0","","6","0","Female","Right-handed","yes","down","s","861.645148379","689.456402375","12","0"
"90","100","20","982.530994545","low_load","1","1","0","","6","4","Female","Right-handed","yes","left","s","1987.24682229","586.067272019","12","4"
"90","100","20","985.877287173","low_load","1","1","0","","6","3","Female","Right-handed","yes","left","s","1543.89782063","561.708458841","12","5"
"90","100","20","998.565287917","low_load","1","1","0","","6","3","Female","Right-handed","yes","left","d","1072.46225747","1457.5643496","12","3"
"91","100","20","1002.9783751","low_load","1","1","0","","6","3","Female","Right-handed","yes","down","s","1358.00591924","842.12666711","12","5"
"91","100","20","1011.35810513","low_load","1","1","0","","6","2","Female","Right-handed","yes","down","d","1838.57339139","569.610400107","12","2"
"92","100","20","1016.53632751","low_load","1","1","0","","6","4","Female","Right-handed","yes","left","d","1576.39462624","705.23270284","12","4"
"92","100","20","1013.03171217","low_load","1","1","0","","6","1","Female","Right-handed","yes","left","d","992.867470097","857.965187584","12","1"
"92","100","20","1019.49657122","low_load","1","1","0","","6","0","Female","Right-handed","yes","down","s","877.540757312","1497.6250558","12","0"
"92","100","20","1037.18513834","low_load","1","1","0","","6","3","Female","Right-handed","yes","left","s","1020.33728377","2009.21561735","12","5"
"93","100","20","1027.71142771","low_load","1","1","0","","6","2","Female","Right-handed","yes","down","d","835.053791445","689.841268417","12","6"
"93","100","20","1037.81754656","low_load","1","1","0","","6","1","Female","Right-handed","yes","left","s","2140.31734771","521.472638589","12","1"
"93","100","20","1043.22787438","low_load","1","1","0","","6","0","Female","Right-handed","yes","left","s","1658.03273158","753.042686774","12","0"
"93","100","20","1038.91634111","low_load","1","1","0","","6","3","Female","Right-handed","yes","down","d","1200.7009052","609.816713964","12","3"
"100","100","20","966.582242025","low_load","1","1","1","3","3","1","Female","Right-handed","no","down","d","1203.03030692","730.134177131","12","1"
"100","100","20","948.634976369","low_load","1","1","1","","6","2","Female","Right-handed","no","left","s","1171.64223623","689.733185201","12","2"
"66","100","20","1011.58318495","low_load","0","1","1","0","0","2","Female","Right-handed","no","left","d","1057.5223992","1217.436805","12","6"
"75","100","20","1094.17455535","low_load","1","1","1","5","3","1","Female","Right-handed","no","left","d","2065.99009355","617.907239586","12","7"
"80","100","20","1035.15677518","low_load","1","1","1","","6","0","Female","Right-handed","no","down","s","836.569522202","761.601786806","12","0"
"83","100","20","1062.52947967","low_load","1","1","1","7","1","3","Female","Right-handed","no","down","d","1637.39589374","761.390110485","12","3"
"85","100","20","1086.74623986","low_load","1","1","1","","6","3","Female","Right-handed","no","down","s","1622.10356232","841.990039669","12","5"
"87","100","20","1068.03305069","low_load","1","1","1","6","2","2","Female","Right-handed","no","left","d","1240.49316734","633.588285702","12","2"
"88","100","20","1103.73052079","low_load","1","1","1","0","0","4","Female","Right-handed","no","left","s","1681.39955253","1097.22101061","12","4"
"90","100","20","1102.4580913","low_load","1","1","1","0","0","1","Female","Right-handed","no","down","d","1340.02850574","841.983945957","12","1"
"90","100","20","1099.14655081","low_load","1","1","1","0","0","2","Female","Right-handed","no","down","s","1386.6120499","745.450241953","12","2"
"91","100","20","1092.10284016","low_load","1","1","1","","6","2","Female","Right-handed","no","down","d","1356.13386667","673.11017945","12","6"
"92","100","20","1072.69416393","low_load","1","1","1","2","2","1","Female","Right-handed","no","down","s","1085.78599909","593.794099233","12","1"
"92","100","20","1085.14478477","low_load","1","1","1","0","0","1","Female","Right-handed","no","left","d","1708.54607873","785.459632687","12","7"
"93","100","20","1080.10935327","low_load","1","1","1","0","0","1","Female","Right-handed","no","left","d","1417.1636784","602.062946124","12","1"
"93","100","20","1078.71489741","low_load","1","1","1","0","0","4","Female","Right-handed","no","left","d","1465.78701257","649.809106442","12","4"
"94","100","20","1101.8677398","low_load","1","1","1","0","0","1","Female","Right-handed","no","down","s","2199.3307821","745.295654091","12","7"
"94","100","20","1084.62513798","low_load","1","1","1","3","3","0","Female","Right-handed","no","down","d","1029.06315908","553.938654921","12","0"
"89","100","20","1081.87036692","low_load","0","1","1","2","2","3","Female","Right-handed","no","left","s","1294.8994345","769.669541187","12","5"
"90","100","20","1098.83477797","low_load","1","1","1","","6","4","Female","Right-handed","no","left","s","2225.1398988","617.177276996","12","4"
"90","100","20","1123.73889173","low_load","1","1","1","1","1","2","Female","Right-handed","no","left","d","2241.89696623","1001.7453675","12","6"
"90","100","20","1136.28856562","low_load","1","1","1","","6","3","Female","Right-handed","no","left","s","1390.32921441","1409.33422024","12","3"
"91","100","20","1145.88325669","low_load","1","1","1","","6","3","Female","Right-handed","no","down","s","1280.94451258","1432.98840784","12","3"
