"acc_1","acc_2","age","avg_rt","condition","correct_1","correct_2","count_block_loop","dis_position","distance_dis","distance_tar","gender","hand","practice","response_keyboard_response_1","response_keyboard_response_2","response_time_keyboard_response_1","response_time_keyboard_response_2","subject_nr","tar_position"
"100","100","19","800.826452112","low_load","1","1","0","","6","1","Female","Right-handed","yes","down","d","776.243117842","825.409786383","22","1"
"100","100","19","925.464243895","low_load","1","1","0","","6","1","Female","Right-handed","yes","down","s","593.963105515","1506.24096584","22","1"
"100","100","19","861.421768745","low_load","1","1","0","","6","4","Female","Right-handed","yes","down","d","768.910275634","697.763361251","22","6"
"100","100","19","810.087757418","low_load","1","1","0","","6","1","Female","Right-handed","yes","left","d","686.520033341","625.651413535","22","3"
"100","100","19","795.105911526","low_load","1","1","0","","6","1","Female","Right-handed","yes","left","d","644.018797782","826.338258135","22","1"
"100","83","19","856.25129823","low_load","1","0","0","","6","3","Female","Right-handed","yes","down","d","953.997832603","1369.95863089","22","5"
"100","85","19","918.415922266","low_load","1","1","0","","6","3","Female","Right-handed","yes","left","s","1653.44142306","929.365909917","22","5"
"100","87","19","888.574429439","low_load","1","1","0","","6","2","Female","Right-handed","yes","down","d","725.252860226","634.115099067","22","4"
"100","88","19","877.656875111","low_load","1","1","0","","6","1","Female","Right-handed","yes","left","d","1058.7307294","521.902151584","22","3"
"100","90","19","863.842824324","low_load","1","1","0","","6","0","Female","Right-handed","yes","left","d","813.535610821","665.49712366","22","2"
"100","90","19","923.781376084","low_load","1","1","0","","6","0","Female","Right-handed","yes","left","d","492.171812497","2554.16197487","22","2"
"100","91","19","900.197718514","low_load","1","1","0","","6","2","Female","Right-handed","yes","left","d","567.693608809","713.861361688","22","4"
"100","92","19","930.859075553","low_load","1","1","0","","6","3","Female","Right-handed","yes","down","s","1692.24256236","905.348157667","22","5"
"100","92","19","903.663426996","low_load","1","1","0","","6","3","Female","Right-handed","yes","down","d","666.132461327","434.107530178","22","7"
"100","93","19","905.797180931","low_load","1","1","0","","6","1","Female","Right-handed","yes","down","d","1021.56812625","849.771345791","22","3"
"100","93","19","894.214664834","low_load","1","1","0","","6","1","Female","Right-handed","yes","left","s","591.49712302","849.456723754","22","1"
