"acc_1","acc_2","age","avg_rt","condition","correct_1","correct_2","count_block_loop","dis_position","distance_dis","distance_tar","gender","hand","practice","response_keyboard_response_1","response_keyboard_response_2","response_time_keyboard_response_1","response_time_keyboard_response_2","subject_nr","tar_position"
"100","100","18","969.145491218","low_load","1","1","0","","6","1","Female","Right-handed","yes","down","s","840.434221916","1097.85676052","5","4"
"100","100","18","1062.73650698","low_load","1","1","0","","6","1","Female","Right-handed","yes","down","s","791.086507312","1521.56853815","5","4"
"100","66","18","1093.33452425","low_load","1","0","0","","6","2","Female","Right-handed","yes","left","d","859.069664662","1449.99145296","5","7"
"75","50","18","1224.30202079","low_load","0","0","0","","6","0","Female","Right-handed","yes","left","s","1448.80577107","1785.60324974","5","5"
"80","60","18","1197.19842965","low_load","1","1","0","","6","1","Female","Right-handed","yes","left","s","1128.26916422","1049.29896599","5","6"
"83","66","18","1155.25716447","low_load","1","1","0","","6","3","Female","Right-handed","yes","down","d","865.015392697","1026.08628442","5","2"
"85","71","18","1125.87507552","low_load","1","1","0","","6","1","Female","Right-handed","yes","left","s","953.57239186","945.592691813","5","6"
"87","75","18","1131.85072451","low_load","1","1","0","","6","2","Female","Right-handed","yes","down","s","1010.22887156","1337.13166329","5","7"
"88","77","18","1110.45947249","low_load","1","1","0","","6","4","Female","Right-handed","yes","down","s","964.812155853","913.84675679","5","1"
"90","80","18","1097.96009476","low_load","1","1","0","","6","3","Female","Right-handed","yes","left","s","1049.44970185","921.48168864","5","0"
"90","81","18","1093.33308104","low_load","1","1","0","","6","3","Female","Right-handed","yes","left","d","868.052880707","1226.07300683","5","0"
"91","83","18","1097.32396002","low_load","1","1","0","","6","1","Female","Right-handed","yes","down","s","1288.68676029","993.760497391","5","4"
"92","84","18","1097.67237429","low_load","1","1","0","","6","1","Female","Right-handed","yes","down","s","1098.31698598","1105.38970512","5","4"
"92","85","18","1114.34083825","low_load","1","1","0","","6","1","Female","Right-handed","yes","left","d","1083.97976034","1578.08197914","5","6"
"93","86","18","1108.03366563","low_load","1","1","0","","6","3","Female","Right-handed","yes","down","d","957.705120241","1081.76137743","5","2"
"93","87","18","1113.01359237","low_load","1","1","0","","6","1","Female","Right-handed","yes","down","d","1142.14744726","1233.27753968","5","4"
"94","88","18","1110.51459243","low_load","1","1","0","","6","4","Female","Right-handed","yes","left","s","939.079940361","1201.98124653","5","1"
"94","88","18","1108.57337663","low_load","1","1","0","","6","4","Female","Right-handed","yes","down","d","885.433046496","1265.71236967","5","1"
"94","89","18","1117.13601251","low_load","1","1","0","","6","2","Female","Right-handed","yes","down","s","1341.1970416","1201.32987518","5","3"
"95","90","18","1122.45359019","low_load","1","1","0","","6","2","Female","Right-handed","yes","left","s","933.015227209","1513.9599049","5","3"
"95","85","18","1166.74034703","low_load","1","0","0","","6","3","Female","Right-handed","yes","down","s","1583.60276033","2521.34820722","5","0"
"95","86","18","1157.45676614","low_load","1","1","0","","6","1","Female","Right-handed","yes","down","d","851.864811097","1073.13832389","5","6"
"95","86","18","1154.87520151","low_load","1","1","0","","6","3","Female","Right-handed","yes","left","d","1034.4729713","1161.68858804","5","0"
