"acc_1","acc_2","age","avg_rt","condition","correct_1","correct_2","count_block_loop","dis_position","distance_dis","distance_tar","gender","hand","practice","response_keyboard_response_1","response_keyboard_response_2","response_time_keyboard_response_1","response_time_keyboard_response_2","subject_nr","tar_position"
"0","0","22","2747.62511522","low_load","0","0","0","","6","2","Male","Right-handed","yes","None","s","3000.12411619","2495.12611424","25","3"
"0","50","22","2211.88221726","low_load","0","1","0","","6","1","Male","Right-handed","yes","left","d","1946.58834411","1405.6902945","25","0"
"33","66","22","1922.00371643","low_load","1","1","0","","6","3","Male","Right-handed","yes","left","d","1450.12068456","1234.37274498","25","4"
"50","50","22","1763.5449012","low_load","1","0","0","","6","1","Male","Right-handed","yes","down","s","1534.64541575","1041.69149525","25","0"
"40","60","22","1749.31630258","low_load","0","1","0","","6","3","Male","Right-handed","yes","down","s","2003.48230911","1381.32150712","25","4"
"33","50","22","1741.43838802","low_load","0","0","0","","6","0","Male","Right-handed","yes","down","d","1193.21555872","2210.88207166","25","1"
"28","57","22","1754.8074064","low_load","0","1","0","","6","1","Male","Right-handed","yes","down","s","2091.61987989","1578.42315347","25","2"
"25","62","22","1813.00366079","low_load","0","1","0","","6","1","Male","Right-handed","yes","down","s","1922.79876564","2517.95611739","25","2"
"33","55","22","1804.77750417","low_load","1","0","0","","6","3","Male","Right-handed","yes","left","d","1564.50097272","1913.43552982","25","4"
"40","60","22","1758.34567546","low_load","1","1","0","","6","3","Male","Right-handed","yes","down","d","1358.93024029","1321.98819389","25","4"
"45","63","22","1711.32907363","low_load","1","1","0","","6","4","Male","Right-handed","yes","left","d","1392.67124346","1089.65486718","25","5"
"50","58","22","1679.86523718","low_load","1","0","0","","6","0","Male","Right-handed","yes","down","d","1522.10807666","1145.41799576","25","1"
"53","61","22","1627.98074376","low_load","1","1","0","","6","4","Male","Right-handed","yes","left","d","1000.84123198","1009.89241339","25","5"
"57","64","22","1585.19839027","low_load","1","1","0","","6","3","Male","Right-handed","yes","down","d","1032.53095047","1025.52463947","25","6"
"60","66","22","1579.19910953","low_load","1","1","0","","6","1","Male","Right-handed","yes","left","d","2133.20457748","857.213780682","25","2"
"62","68","22","1537.51594348","low_load","1","1","0","","6","0","Male","Right-handed","yes","down","s","1062.67065977","761.866245719","25","1"
"58","70","22","1521.15523632","low_load","0","1","0","","6","1","Male","Right-handed","yes","down","d","1371.54006067","1147.22778304","25","0"
"61","72","22","1530.91439318","low_load","1","1","0","","6","3","Male","Right-handed","yes","down","s","1919.80233775","1473.83778174","25","6"
"63","73","22","1507.43141698","low_load","1","1","0","","6","2","Male","Right-handed","yes","left","d","1327.82742782","841.648263047","25","3"
"65","75","22","1490.70059422","low_load","1","1","0","","6","1","Male","Right-handed","yes","down","s","1200.40788365","1145.2220397","25","2"
"66","76","22","1469.30935043","low_load","1","1","0","","6","2","Male","Right-handed","yes","down","d","1216.89705668","866.07189246","25","7"
"68","77","22","1467.0017697","low_load","1","1","0","","6","2","Male","Right-handed","yes","left","s","1795.67427806","1041.41087078","25","3"
"65","78","22","1462.6849636","low_load","0","1","0","","6","0","Male","Right-handed","yes","down","s","1104.22456885","1631.20588984","25","1"
"66","79","22","1467.17973238","low_load","1","1","0","","6","2","Male","Right-handed","yes","left","s","1995.46927788","1145.64955103","25","7"
"64","80","22","1458.78314175","low_load","0","1","0","","6","3","Male","Right-handed","yes","down","s","1366.20595078","1148.32398239","25","6"
"65","80","22","1460.76878572","low_load","1","1","0","","6","1","Male","Right-handed","yes","down","d","1754.90258963","1265.91718018","25","0"
"62","81","22","1476.64743549","low_load","0","1","0","","6","3","Male","Right-handed","yes","left","d","2084.50805408","1694.4766049","25","6"
"60","78","22","1470.06965947","low_load","0","0","0","","6","0","Male","Right-handed","yes","left","s","1625.90128561","959.038128367","25","1"
"62","79","22","1467.12405561","low_load","1","1","0","","6","2","Male","Right-handed","yes","left","d","1703.69038815","1065.60390706","25","3"
"63","80","22","1458.89286111","low_load","1","1","0","","6","2","Male","Right-handed","yes","left","s","1567.19592976","873.180511127","25","3"
"61","77","22","1460.45359301","low_load","0","0","0","","6","4","Male","Right-handed","yes","down","d","1722.66252647","1291.88857381","25","5"
"62","78","22","1448.63841108","low_load","1","1","0","","6","2","Male","Right-handed","yes","down","s","1347.23156746","817.503975246","25","7"
"0","100","22","1365.8429029","low_load","0","1","1","","6","0","Male","Right-handed","no","down","s","1758.86853497","972.817270817","25","1"
"0","50","22","1919.88251617","low_load","0","0","1","","6","2","Male","Right-handed","no","down","s","2384.48663041","2563.35762846","25","3"
"0","66","22","1915.07036779","low_load","0","1","1","7","2","1","Male","Right-handed","no","left","d","2635.92134305","1174.97079902","25","2"
"25","75","22","1947.91112767","low_load","1","1","1","","6","4","Male","Right-handed","no","left","d","2331.61249064","1761.25432402","25","5"
"20","80","22","1858.30144905","low_load","0","1","1","1","0","3","Male","Right-handed","no","down","s","1479.78862403","1519.93684506","25","6"
"16","66","22","1928.88059274","low_load","0","0","1","1","0","3","Male","Right-handed","no","None","d","3000.08306484","1563.46955754","25","6"
"28","71","22","1895.30281373","low_load","1","1","1","2","1","3","Male","Right-handed","no","down","d","1825.80564879","1561.86663057","25","6"
"37","75","22","1814.13952841","low_load","1","1","1","","6","1","Male","Right-handed","no","down","s","1578.43213346","913.560928862","25","2"
"44","77","22","1797.26177513","low_load","1","1","1","1","0","4","Male","Right-handed","no","down","d","2179.18016604","1145.2993317","25","5"
"50","80","22","1730.72251019","low_load","1","1","1","1","0","1","Male","Right-handed","no","down","d","1381.86126824","881.876983214","25","2"
"54","81","22","1682.42414116","low_load","1","1","1","","6","4","Male","Right-handed","no","left","s","1637.43799803","761.442903664","25","5"
