"acc_1","acc_2","age","avg_rt","condition","correct_1","correct_2","count_block_loop","dis_position","distance_dis","distance_tar","gender","hand","practice","response_keyboard_response_1","response_keyboard_response_2","response_time_keyboard_response_1","response_time_keyboard_response_2","subject_nr","tar_position"
"100","0","21","1000.8768312","high_load","1","0","0","","6","2","Male","Right-handed","yes","down","d","1007.70707039","994.046592","19","5"
"100","50","21","1327.50078094","high_load","1","1","0","","6","3","Male","Right-handed","yes","down","d","2162.56559397","1145.6838674","19","4"
"100","66","21","1143.28535671","high_load","1","1","0","","6","2","Male","Right-handed","yes","left","s","971.335573626","578.373442854","19","1"
"100","75","21","1073.70176707","high_load","1","1","0","","6","3","Male","Right-handed","yes","down","d","679.816141263","1050.08585505","19","4"
"100","60","21","1030.9811337","high_load","1","0","0","","6","0","Male","Right-handed","yes","left","d","814.594140048","905.603060379","19","7"
"100","50","21","1007.03164738","high_load","1","0","0","","6","0","Male","Right-handed","yes","down","d","668.163009782","1106.40542186","19","7"
"100","57","21","1051.07631052","high_load","1","1","0","","6","3","Male","Right-handed","yes","down","d","700.798833628","1929.88974505","19","2"
"100","62","21","993.255170867","high_load","1","1","0","","6","1","Male","Right-handed","yes","left","s","727.437953128","449.576433445","19","0"
"100","55","21","950.30060493","high_load","1","0","0","","6","2","Male","Right-handed","yes","down","s","651.018939426","562.309215451","19","1"
"100","60","21","932.606302152","high_load","1","1","0","","6","1","Male","Right-handed","yes","left","d","840.825953177","705.889201121","19","6"
"100","63","21","918.608014588","high_load","1","1","0","","6","2","Male","Right-handed","yes","down","d","723.53999909","833.710278809","19","5"
"91","66","21","912.037578984","high_load","0","1","0","","6","3","Male","Right-handed","yes","left","d","1039.16234719","640.363227483","19","2"
"92","69","21","905.383975931","high_load","1","1","0","","6","1","Male","Right-handed","yes","down","d","969.022265867","682.059212724","19","0"
"92","71","21","908.908553168","high_load","1","1","0","","6","1","Male","Right-handed","yes","left","d","755.81085077","1153.64526373","19","0"
"93","73","21","894.766102446","high_load","1","1","0","","6","2","Male","Right-handed","yes","down","s","792.111790525","601.431794144","19","1"
"93","68","21","893.097512031","high_load","1","0","0","","6","2","Male","Right-handed","yes","left","d","694.095276336","1042.0420353","19","1"
"94","70","21","910.713029136","high_load","1","1","0","","6","2","Male","Right-handed","yes","down","d","1351.46178087","1033.66082476","19","5"
"94","66","21","917.90381077","high_load","1","0","0","","6","1","Male","Right-handed","yes","left","d","1519.07444598","561.219751088","19","6"
"94","68","21","905.219149226","high_load","1","1","0","","6","4","Male","Right-handed","yes","left","d","623.84647308","729.944009807","19","3"
"95","65","21","891.079613643","high_load","1","0","0","","6","4","Male","Right-handed","yes","left","s","651.426245796","593.430629311","19","3"
"95","66","21","878.109460372","high_load","1","1","0","","6","1","Male","Right-handed","yes","down","d","604.179027507","633.233762427","19","0"
"90","63","21","879.143824807","high_load","0","0","0","","6","3","Male","Right-handed","yes","down","d","1026.78568565","774.945270211","19","4"
"91","60","21","883.598176829","high_load","1","0","0","","6","3","Male","Right-handed","yes","left","d","1249.51652413","713.671318512","19","2"
"91","58","21","916.705065448","high_load","1","0","0","","6","2","Male","Right-handed","yes","down","d","1835.11436329","1521.21264407","19","5"
"92","56","21","909.386763377","high_load","1","0","0","","6","1","Male","Right-handed","yes","down","s","649.509660858","817.985366476","19","6"
"88","57","21","896.717866796","high_load","0","1","0","","6","3","Male","Right-handed","yes","down","d","689.387199548","470.603705013","19","2"
"88","55","21","885.346885458","high_load","1","0","0","","6","1","Male","Right-handed","yes","down","d","658.213830072","521.188911261","19","6"
"85","53","21","881.521855812","high_load","0","0","0","","6","4","Male","Right-handed","yes","down","d","701.662515563","854.829595202","19","3"
"86","55","21","887.244104492","high_load","1","1","0","","6","4","Male","Right-handed","yes","down","s","1237.42625991","857.507875124","19","3"
"86","53","21","899.891860693","high_load","1","0","0","","6","3","Male","Right-handed","yes","left","d","1180.19714911","1353.15643195","19","2"
"87","51","21","912.961121867","high_load","1","0","0","","6","4","Male","Right-handed","yes","down","d","1408.46575067","1201.61216352","19","3"
"87","53","21","904.574456446","high_load","1","1","0","","6","3","Male","Right-handed","yes","left","s","1080.03570185","209.139954959","19","4"
"100","0","21","779.182699678","high_load","1","0","1","4","3","0","Male","Right-handed","no","left","d","860.155687247","698.209712108","19","7"
"50","0","21","1234.88668865","high_load","0","0","1","7","0","1","Male","Right-handed","no","left","s","2710.47765171","670.703703538","19","0"
"66","33","21","1177.89506633","high_load","1","1","1","","6","4","Male","Right-handed","no","left","d","1246.43895568","881.384687718","19","3"
"75","25","21","1167.28437457","high_load","1","0","1","7","0","3","Male","Right-handed","no","down","d","1468.90937465","801.995223932","19","2"
"80","40","21","1308.43329444","high_load","1","1","1","7","0","2","Male","Right-handed","no","down","d","2848.49101008","897.566937755","19","1"
"83","33","21","1439.36581864","high_load","1","0","1","","6","3","Male","Right-handed","no","down","d","2794.03029975","1394.02657947","19","4"
"85","42","21","1446.45843216","high_load","1","1","1","","6","0","Male","Right-handed","no","down","s","1792.45335059","1185.57487606","19","7"
"87","50","21","1494.05154302","high_load","1","1","1","5","2","1","Male","Right-handed","no","down","s","2197.09234565","1457.31429235","19","0"
"88","55","21","1502.50286736","high_load","1","1","1","5","2","0","Male","Right-handed","no","left","d","2458.6378777","681.589046473","19","7"
"80","60","21","1489.37855631","high_load","0","1","1","7","0","3","Male","Right-handed","no","down","d","2146.0754588","596.444055027","19","4"
"81","63","21","1459.65363623","high_load","1","1","1","","6","2","Male","Right-handed","no","down","s","1554.84588746","769.962983227","19","5"
"75","66","21","1496.22713766","high_load","0","1","1","3","4","2","Male","Right-handed","no","left","d","2606.57924867","1190.49205817","19","5"
"76","69","21","1494.23260593","high_load","1","1","1","7","0","3","Male","Right-handed","no","down","d","2298.72554799","641.870902482","19","4"
"78","64","21","1476.90005902","high_load","1","0","1","2","3","3","Male","Right-handed","no","down","d","1877.52393646","625.629961842","19","4"
"73","60","21","1473.85593413","high_load","0","0","1","7","0","3","Male","Right-handed","no","down","d","1982.21610586","880.260265563","19","4"
"68","62","21","1495.52279697","high_load","0","1","1","4","3","4","Male","Right-handed","no","left","d","2525.38609116","1115.66538787","19","3"
"70","64","21","1498.97943248","high_load","1","1","1","6","1","0","Male","Right-handed","no","down","d","2059.26949121","1049.30171011","19","7"
"72","66","21","1480.66726369","high_load","1","1","1","","6","2","Male","Right-handed","no","down","d","1560.74894341","777.971845187","19","5"
"73","63","21","1480.73888178","high_load","1","0","1","4","3","1","Male","Right-handed","no","down","d","2082.53374068","881.522273886","19","6"
"75","65","21","1479.68126513","high_load","1","1","1","4","3","4","Male","Right-handed","no","down","d","1758.11357498","1161.05952253","19","3"
"76","66","21","1472.15548578","high_load","1","1","1","1","2","3","Male","Right-handed","no","left","s","1297.67104142","1345.60875625","19","2"
"77","68","21","1484.75262304","high_load","1","1","1","7","0","3","Male","Right-handed","no","down","s","2841.35064075","657.234370499","19","4"
"78","69","21","1487.75661591","high_load","1","1","1","","6","2","Male","Right-handed","no","down","d","1913.80210555","1193.88681245","19","1"
"79","70","21","1494.30422531","high_load","1","1","1","","6","0","Male","Right-handed","no","down","d","2448.28491947","841.513563302","19","7"
"80","72","21","1485.67534283","high_load","1","1","1","7","0","3","Male","Right-handed","no","left","d","1628.00003592","929.164290713","19","2"
"80","73","21","1485.78972585","high_load","1","1","1","7","0","1","Male","Right-handed","no","down","s","1823.64275575","1153.65584728","19","0"
"81","74","21","1471.65912621","high_load","1","1","1","7","0","4","Male","Right-handed","no","down","s","1279.28709198","929.239979141","19","3"
"82","75","21","1446.44903983","high_load","1","1","1","7","0","2","Male","Right-handed","no","down","s","969.67652177","561.876893414","19","5"
"82","75","21","1445.09015228","high_load","1","1","1","","6","1","Male","Right-handed","no","down","s","1732.48438285","1081.59821889","19","6"
"83","76","21","1464.23806769","high_load","1","1","1","7","0","2","Male","Right-handed","no","left","d","1701.96238285","2337.09284597","19","5"
"83","77","21","1441.4497299","high_load","1","1","1","7","0","1","Male","Right-handed","no","left","d","913.75688492","601.84230765","19","0"
"84","75","21","1426.69788226","high_load","1","0","1","5","2","3","Male","Right-handed","no","left","d","1073.19968981","865.581521248","19","4"
"84","72","21","1407.79369515","high_load","1","0","1","","6","0","Male","Right-handed","no","down","d","996.848025975","608.871389325","19","7"
"82","73","21","1401.37974231","high_load","0","1","1","7","0","2","Male","Right-handed","no","left","d","1135.74751623","1243.69108089","19","5"
"82","74","21","1391.7047957","high_load","1","1","1","7","0","1","Male","Right-handed","no","left","d","988.12108609","1137.39213597","19","0"
"83","72","21","1389.6683523","high_load","1","0","1","5","2","3","Male","Right-handed","no","left","d","1403.95395065","1232.83171576","19","2"
"83","72","21","1372.01641149","high_load","1","1","1","","6","3","Male","Right-handed","no","left","d","799.418610245","673.674474335","19","2"
"84","73","21","1399.49273899","high_load","1","1","1","7","0","1","Male","Right-handed","no","left","d","1959.12536249","2873.10835055","19","6"
"84","74","21","1400.59891141","high_load","1","1","1","","6","3","Male","Right-handed","no","left","s","1564.63374819","1320.6331786","19","4"
"85","75","21","1390.68819062","high_load","1","1","1","","6","1","Male","Right-handed","no","down","s","990.972230685","1017.3679285","19","6"
"82","73","21","1373.07009958","high_load","0","0","1","7","0","4","Male","Right-handed","no","down","d","545.780915356","790.912000657","19","3"
"83","73","21","1359.52236173","high_load","1","1","1","7","0","2","Male","Right-handed","no","left","d","822.448418015","785.681802001","19","1"
"81","74","21","1352.8516458","high_load","0","1","1","7","0","2","Male","Right-handed","no","down","d","1453.06547755","692.297676173","19","1"
"81","75","21","1359.6354022","high_load","1","1","1","7","0","1","Male","Right-handed","no","left","d","2501.88932428","800.784529798","19","6"
