"acc_1","acc_2","age","avg_rt","condition","correct_1","correct_2","count_block_loop","dis_position","distance_dis","distance_tar","gender","hand","practice","response_keyboard_response_1","response_keyboard_response_2","response_time_keyboard_response_1","response_time_keyboard_response_2","subject_nr","tar_position"
"100","100","21","1354.33303069","high_load","1","1","0","","6","3","Female","Right-handed","yes","left","s","1571.21964877","1137.4464126","18","5"
"50","50","21","1608.35992325","high_load","0","0","0","","6","3","Female","Right-handed","yes","left","d","2116.74620923","1608.02742238","18","7"
"66","33","21","1578.07973414","high_load","1","0","0","","6","3","Female","Right-handed","yes","left","d","1545.43868466","1489.6000272","18","5"
"75","50","21","1421.59758688","high_load","1","1","0","","6","3","Female","Right-handed","yes","left","s","854.045991116","1050.25629908","18","5"
"80","40","21","1456.65981513","high_load","1","0","0","","6","1","Female","Right-handed","yes","down","s","847.901099314","2345.91635699","18","3"
"83","50","21","1411.50941549","high_load","1","1","0","","6","1","Female","Right-handed","yes","left","s","1210.17325965","1161.34157484","18","3"
"85","42","21","1400.13625331","high_load","1","0","0","","6","1","Female","Right-handed","yes","left","s","1261.76565577","1402.02890473","18","1"
"87","50","21","1383.63403802","high_load","1","1","0","","6","2","Female","Right-handed","yes","left","d","1358.67855321","1177.55850877","18","4"
"88","55","21","1477.95537884","high_load","1","1","0","","6","3","Female","Right-handed","yes","left","d","870.866189209","3594.18602153","18","7"
"90","60","21","1468.07271691","high_load","1","1","0","","6","4","Female","Right-handed","yes","down","s","1100.4455688","1657.81195027","18","6"
"90","63","21","1467.09087685","high_load","1","1","0","","6","0","Female","Right-handed","yes","left","s","1529.21629859","1385.32865389","18","2"
"91","66","21","1440.65611901","high_load","1","1","0","","6","1","Female","Right-handed","yes","down","s","657.835683156","1641.91188238","18","3"
"92","69","21","1403.91696393","high_load","1","1","0","","6","3","Female","Right-handed","yes","down","s","676.534627397","1249.55957867","18","7"
"92","64","21","1377.40381895","high_load","1","0","0","","6","3","Female","Right-handed","yes","down","s","696.241898346","1369.22397008","18","7"
"93","66","21","1351.60506434","high_load","1","1","0","","6","4","Female","Right-handed","yes","down","s","754.864679282","1225.98032031","18","6"
"93","62","21","1353.09790864","high_load","1","0","0","","6","3","Female","Right-handed","yes","left","s","1221.47267656","1529.50846959","18","7"
"94","58","21","1330.65529408","high_load","1","0","0","","6","2","Female","Right-handed","yes","down","s","724.950666074","1218.19625617","18","4"
"94","61","21","1359.59862995","high_load","1","1","0","","6","3","Female","Right-handed","yes","left","d","1805.60365384","1897.66702576","18","5"
"94","63","21","1374.96666045","high_load","1","1","0","","6","2","Female","Right-handed","yes","down","d","1374.01833269","1929.16408625","18","0"
"95","65","21","1363.85527176","high_load","1","1","0","","6","2","Female","Right-handed","yes","left","s","863.63567847","1441.84209488","18","0"
"95","66","21","1369.68702852","high_load","1","1","0","","6","3","Female","Right-handed","yes","down","s","1091.19263177","1881.45169541","18","5"
"95","63","21","1358.83982892","high_load","1","0","0","","6","0","Female","Right-handed","yes","down","s","883.986623638","1378.11065103","18","2"
"95","65","21","1340.84494577","high_load","1","1","0","","6","4","Female","Right-handed","yes","down","d","696.421177814","1193.49385527","18","6"
"95","62","21","1325.82541115","high_load","1","0","0","","6","0","Female","Right-handed","yes","left","s","943.2469852","1017.50524449","18","2"
"96","64","21","1323.15289395","high_load","1","1","0","","6","2","Female","Right-handed","yes","left","s","812.017945907","1706.00701659","18","4"
"96","61","21","1315.41276549","high_load","1","0","0","","6","2","Female","Right-handed","yes","down","s","1194.34086254","1049.47824545","18","0"
"92","62","21","1326.32697835","high_load","0","1","0","","6","0","Female","Right-handed","yes","left","s","649.110000937","2571.08302435","18","2"
"92","60","21","1316.0873847","high_load","1","0","0","","6","1","Female","Right-handed","yes","down","s","989.553042509","1089.68366956","18","1"
"93","62","21","1312.81910757","high_load","1","1","0","","6","2","Female","Right-handed","yes","left","d","801.240010944","1641.37468542","18","4"
"93","60","21","1300.93952809","high_load","1","0","0","","6","2","Female","Right-handed","yes","down","d","935.799350678","977.064095136","18","0"
"93","58","21","1288.86331885","high_load","1","0","0","","6","4","Female","Right-handed","yes","down","s","891.465046756","961.689037045","18","6"
"93","59","21","1270.76490253","high_load","1","1","0","","6","2","Female","Right-handed","yes","down","d","626.104501003","793.323491671","18","4"
