"acc_1","acc_2","age","avg_rt","condition","correct_1","correct_2","count_block_loop","dis_position","distance_dis","distance_tar","gender","hand","practice","response_keyboard_response_1","response_keyboard_response_2","response_time_keyboard_response_1","response_time_keyboard_response_2","subject_nr","tar_color","tar_position","tar_shape"
"0","0","21","3000.12908804","low_load","0","0","0","","6","3","Female","Right-handed","yes","None","None","3000.11641977","3000.14175631","9","green","6","circle"
"50","50","21","2518.49286424","low_load","1","1","0","","6","0","Female","Right-handed","yes","left","space","1447.90247166","2625.81080921","9","green","1","diamond"
"66","66","21","2104.6427757","low_load","1","1","0","","6","1","Female","Right-handed","yes","left","space","1120.51146446","1433.37373281","9","red","0","circle"
"75","75","21","2006.10057257","low_load","1","1","0","","6","0","Female","Right-handed","yes","down","space","682.986709224","2737.96121714","9","green","1","diamond"
"80","60","21","2042.86184821","low_load","1","0","0","","6","3","Female","Right-handed","yes","down","None","1379.67823884","3000.13566271","9","green","6","diamond"
"66","66","21","1894.38446706","low_load","0","1","0","","6","3","Female","Right-handed","yes","left","space","1403.23576416","900.759358403","9","red","6","circle"
"71","71","21","1771.82711558","low_load","1","1","0","","6","0","Female","Right-handed","yes","down","space","1359.48020976","713.485803683","9","red","1","circle"
"62","62","21","1799.17993815","low_load","0","0","0","","6","2","Female","Right-handed","yes","down","None","981.212478277","3000.08691394","9","red","3","circle"
"55","55","21","1815.3751466","low_load","0","0","0","","6","1","Female","Right-handed","yes","left","None","889.727702806","3000.14592561","9","red","2","circle"
"60","60","21","1749.77607635","low_load","1","1","0","","6","2","Female","Right-handed","yes","down","space","781.004141401","1537.76474674","9","green","3","diamond"
"63","63","21","1688.51806257","low_load","1","1","0","","6","1","Female","Right-handed","yes","down","space","1166.49310606","985.382743638","9","red","0","diamond"
"66","66","21","1664.64593101","low_load","1","1","0","","6","1","Female","Right-handed","yes","left","space","770.170046637","2033.93492103","9","green","2","diamond"
"69","69","21","1596.91539159","low_load","1","1","0","","6","2","Female","Right-handed","yes","down","space","630.719041239","937.578795822","9","red","7","circle"
"64","71","21","1545.97404751","low_load","0","1","0","","6","1","Female","Right-handed","yes","down","space","1104.35926308","663.113885801","9","green","2","circle"
"66","73","21","1499.35628096","low_load","1","1","0","","6","2","Female","Right-handed","yes","down","space","1139.79385041","553.621248308","9","red","7","diamond"
"68","75","21","1531.70129701","low_load","1","1","0","","6","1","Female","Right-handed","yes","left","space","2064.65627142","1969.09680384","9","green","0","circle"
"70","76","21","1497.41582436","low_load","1","1","0","","6","3","Female","Right-handed","yes","left","space","1303.9242444","593.772279713","9","green","4","diamond"
"72","77","21","1459.55779444","low_load","1","1","0","","6","0","Female","Right-handed","yes","left","space","830.581325948","801.361245429","9","red","1","diamond"
"73","78","21","1422.29970899","low_load","1","1","0","","6","2","Female","Right-handed","yes","left","space","870.284317614","633.024024488","9","green","3","circle"
"75","80","21","1393.76325157","low_load","1","1","0","","6","0","Female","Right-handed","yes","left","space","917.698916654","785.442204316","9","red","1","diamond"
"76","80","21","1364.708432","low_load","1","1","0","","6","3","Female","Right-handed","yes","down","space","1134.24322496","432.980856163","9","red","4","diamond"
"77","81","21","1331.98780248","low_load","1","1","0","","6","1","Female","Right-handed","yes","down","space","719.889532707","569.819632736","9","red","2","diamond"
