"acc_1","acc_2","age","avg_rt","condition","correct_1","correct_2","count_block_loop","dis_position","distance_dis","distance_tar","gender","hand","practice","response_keyboard_response_1","response_keyboard_response_2","response_time_keyboard_response_1","response_time_keyboard_response_2","subject_nr","tar_color","tar_position","tar_shape"
"100","100","21","1826.42814327","low_load","1","1","0","","6","3","Male","Right-handed","yes","down","space","795.552750351","2857.30353619","3","green","6","circle"
"100","100","21","1166.86222365","low_load","1","1","0","","6","3","Male","Right-handed","yes","left","space","541.019500539","473.573107534","3","red","0","circle"
"100","100","21","1001.75298382","low_load","1","1","0","","6","1","Male","Right-handed","yes","down","space","493.746185486","849.322822804","3","red","2","circle"
"100","100","21","826.446023228","low_load","1","1","0","","6","1","Male","Right-handed","yes","left","space","439.198695836","161.85158708","3","green","4","circle"
"100","100","21","731.726382507","low_load","1","1","0","","6","2","Male","Right-handed","yes","left","space","439.961680779","265.733958469","3","green","1","circle"
"100","100","21","708.792051702","low_load","1","1","0","","6","3","Male","Right-handed","yes","down","space","490.776669918","697.464125435","3","green","6","circle"
"100","100","21","723.337529683","low_load","1","1","0","","6","2","Male","Right-handed","yes","down","space","1091.27211302","529.948682131","3","green","5","diamond"
"100","100","21","721.708941936","low_load","1","1","0","","6","3","Male","Right-handed","yes","left","space","554.981258931","865.636396469","3","red","6","circle"
"88","100","21","696.161588175","low_load","0","1","0","","6","0","Male","Right-handed","yes","left","space","391.440457199","592.125058974","3","green","3","circle"
"90","100","21","694.282936882","low_load","1","1","0","","6","1","Male","Right-handed","yes","down","space","856.924449108","497.825701386","3","red","4","diamond"
"90","100","21","715.464158501","low_load","1","1","0","","6","3","Male","Right-handed","yes","down","space","1189.27638944","665.276359941","3","red","0","diamond"
"91","100","21","774.643039686","low_load","1","1","0","","6","3","Male","Right-handed","yes","left","space","905.157989837","1946.0634756","3","green","0","diamond"
"100","0","21","2050.92194815","low_load","1","0","1","3","0","2","Male","Right-handed","no","down","None","1101.76275497","3000.08114132","3","green","5","circle"
"100","50","21","1343.47126716","low_load","1","1","1","3","0","1","Male","Right-handed","no","down","space","1182.25878821","89.7823841224","3","red","2","circle"
"100","66","21","1124.20297901","low_load","1","1","1","","6","2","Male","Right-handed","no","left","space","577.796721453","793.536083991","3","red","5","circle"
"100","75","21","1098.30747395","low_load","1","1","1","3","0","1","Male","Right-handed","no","left","space","1320.31640623","720.925511312","3","red","2","diamond"
"100","80","21","1104.41912279","low_load","1","1","1","3","0","1","Male","Right-handed","no","down","space","623.935982381","1633.79545396","3","red","4","circle"
"100","66","21","1220.91417932","low_load","1","0","1","3","0","3","Male","Right-handed","no","down","None","606.577834566","3000.20108934","3","red","0","circle"
"85","57","21","1315.34692448","low_load","0","0","1","","6","4","Male","Right-handed","no","left","None","763.792500176","3000.09429069","3","green","7","diamond"
"87","50","21","1417.39032372","low_load","1","0","1","","6","1","Male","Right-handed","no","left","None","1263.27117524","3000.11706159","3","green","2","diamond"
