"acc_1","acc_2","age","avg_rt","condition","correct_1","correct_2","count_block_loop","dis_position","distance_dis","distance_tar","gender","hand","practice","response_keyboard_response_1","response_keyboard_response_2","response_time_keyboard_response_1","response_time_keyboard_response_2","subject_nr","tar_color","tar_position","tar_shape"
"100","100","19","2514.7406188","low_load","1","1","0","","6","2","Female","Right-handed","yes","left","space","2308.26002553","2721.22121206","1","green","7","diamond"
"100","50","19","2438.43835681","low_load","1","0","0","","6","1","Female","Right-handed","yes","down","None","1724.18303043","3000.08915924","1","red","2","circle"
"100","66","19","2075.20597226","low_load","1","1","0","","6","2","Female","Right-handed","yes","left","space","1031.43376063","1666.04864565","1","red","7","circle"
"100","50","19","2122.03814155","low_load","1","0","0","","6","2","Female","Right-handed","yes","down","None","1524.89996045","3000.1693384","1","red","7","circle"
"100","40","19","2099.75978322","low_load","1","0","0","","6","0","Female","Right-handed","yes","down","None","1021.1596024","3000.1330974","1","red","1","diamond"
"83","50","19","2105.38995351","low_load","0","1","0","","6","4","Female","Right-handed","yes","down","space","1300.55320417","2966.52840571","1","green","5","diamond"
"85","57","19","1982.63786613","low_load","1","1","0","","6","3","Female","Right-handed","yes","left","space","1130.27125894","1361.97942475","1","red","4","circle"
"87","62","19","1956.68861812","low_load","1","1","0","","6","4","Female","Right-handed","yes","down","space","1532.60806468","2017.47969944","1","green","5","diamond"
"88","66","19","1952.33979374","low_load","1","1","0","","6","4","Female","Right-handed","yes","down","space","1241.07277158","2594.02562591","1","red","5","diamond"
"90","70","19","1943.30762148","low_load","1","1","0","","6","3","Female","Right-handed","yes","down","space","1690.60912753","2033.42701467","1","green","4","diamond"
"90","72","19","1933.82771223","low_load","1","1","0","","6","1","Female","Right-handed","yes","left","space","1412.21455816","2265.84268142","1","green","0","circle"
"91","75","19","1856.42584159","low_load","1","1","0","","6","1","Female","Right-handed","yes","down","space","1168.67932407","841.331205054","1","red","0","diamond"
"92","76","19","1773.28681116","low_load","1","1","0","","6","3","Female","Right-handed","yes","down","space","989.196980008","562.039911907","1","green","4","diamond"
"92","78","19","1707.42697087","low_load","1","1","0","","6","1","Female","Right-handed","yes","down","space","1396.99398687","305.504107251","1","red","2","circle"
"93","80","19","1639.32442746","low_load","1","1","0","","6","3","Female","Right-handed","yes","down","space","1002.41852434","369.35911511","1","green","6","circle"
"93","81","19","1601.45032684","low_load","1","1","0","","6","0","Female","Right-handed","yes","down","space","1608.86518579","457.812449386","1","red","1","diamond"
"94","82","19","1562.78109754","low_load","1","1","0","","6","1","Female","Right-handed","yes","down","space","1318.70191857","569.444938883","1","red","2","circle"
"94","83","19","1519.22140471","low_load","1","1","0","","6","4","Female","Right-handed","yes","down","space","1108.34995448","449.063298889","1","red","5","circle"
"89","84","19","1496.37720148","low_load","0","1","0","","6","2","Female","Right-handed","yes","down","space","1422.8354111","747.527675441","1","green","3","diamond"
"90","85","19","1469.07099929","low_load","1","1","0","","6","0","Female","Right-handed","yes","down","space","1387.33111462","513.175200773","1","red","1","diamond"
"90","85","19","1438.15168575","low_load","1","1","0","","6","3","Female","Right-handed","yes","down","space","1125.88193073","513.648899287","1","red","6","diamond"
"90","86","19","1412.28556775","low_load","1","1","0","","6","3","Female","Right-handed","yes","left","space","1136.84242259","601.351756573","1","green","4","circle"
"0","100","19","2224.89005031","low_load","0","1","1","3","2","0","Female","Right-handed","no","None","space","3000.12700379","1449.65309683","1","red","1","circle"
"50","100","19","1530.10070183","low_load","1","1","1","1","0","3","Female","Right-handed","no","left","space","1149.39366913","521.229037564","1","green","6","diamond"
"66","100","19","1585.05726556","low_load","1","1","1","7","2","3","Female","Right-handed","no","left","space","2012.07113366","1377.86965241","1","red","6","circle"
"75","100","19","1398.16524413","low_load","1","1","1","1","0","2","Female","Right-handed","no","left","space","1081.70128641","593.277073218","1","red","3","circle"
"80","100","19","1231.65351568","low_load","1","1","1","","6","4","Female","Right-handed","no","down","space","961.292064792","169.921138979","1","red","5","circle"
"83","100","19","1183.56840796","low_load","1","1","1","","6","1","Female","Right-handed","no","left","space","1532.71678764","353.568951046","1","green","0","diamond"
"85","100","19","1132.88686367","low_load","1","1","1","1","0","4","Female","Right-handed","no","down","space","1336.40034676","321.194849166","1","red","5","circle"
"87","100","19","1079.70861368","low_load","1","1","1","4","3","0","Female","Right-handed","no","down","space","1109.16553695","305.756190544","1","green","1","circle"
"88","100","19","1024.96658043","low_load","1","1","1","4","3","3","Female","Right-handed","no","down","space","1148.63196705","25.4286618729","1","red","6","diamond"
"80","100","19","1011.23015045","low_load","0","1","1","6","3","3","Female","Right-handed","no","down","space","1320.11820332","455.086357775","1","red","4","diamond"
"72","100","19","993.009470151","low_load","0","1","1","3","2","4","Female","Right-handed","no","down","space","1113.96474105","507.640593365","1","red","5","circle"
"75","100","19","1013.07909268","low_load","1","1","1","4","3","4","Female","Right-handed","no","down","space","2114.48077417","353.209106936","1","green","5","circle"
"76","100","19","994.952499519","low_load","1","1","1","","6","3","Female","Right-handed","no","left","space","1273.07869072","281.78807236","1","green","4","circle"
"71","100","19","984.31677203","low_load","0","1","1","1","0","1","Female","Right-handed","no","down","space","1375.71636075","316.388268577","1","green","2","circle"
"73","100","19","968.905087219","low_load","1","1","1","","6","2","Female","Right-handed","no","down","space","1185.20745718","321.075542568","1","green","7","circle"
"75","100","19","974.076813084","low_load","1","1","1","7","2","4","Female","Right-handed","no","left","space","1821.75337723","281.552024884","1","green","5","circle"
"76","100","19","962.061086752","low_load","1","1","1","2","1","3","Female","Right-handed","no","left","space","1234.56414766","305.05478321","1","green","6","circle"
"77","100","19","952.722221634","low_load","1","1","1","1","0","1","Female","Right-handed","no","left","space","1274.12198202","313.801047261","1","green","0","circle"
"78","100","19","932.2105752","low_load","1","1","1","","6","0","Female","Right-handed","no","left","space","932.692156581","193.309722177","1","red","1","circle"
"80","100","19","982.423339899","low_load","1","1","1","1","0","2","Female","Right-handed","no","down","space","2104.09468583","1768.83705253","1","green","3","diamond"
"80","100","19","966.981853256","low_load","1","1","1","","6","3","Female","Right-handed","no","left","space","1122.87360846","193.430632353","1","red","4","circle"
"81","100","19","960.835794324","low_load","1","1","1","1","0","4","Female","Right-handed","no","left","space","1182.35756892","481.179544571","1","green","5","diamond"
"82","100","19","944.57417201","low_load","1","1","1","","6","2","Female","Right-handed","no","down","space","947.964683961","225.672278248","1","red","7","circle"
"83","100","19","929.316313061","low_load","1","1","1","1","0","3","Female","Right-handed","no","left","space","1067.446393","89.3247214553","1","red","4","diamond"
"80","100","19","926.528559659","low_load","0","1","1","","6","0","Female","Right-handed","no","left","space","1573.2470349","145.997921107","1","green","1","diamond"
"80","100","19","926.108151924","low_load","1","1","1","3","2","3","Female","Right-handed","no","down","space","1517.65400895","313.541908195","1","green","6","diamond"
"81","100","19","923.129496396","low_load","1","1","1","7","2","1","Female","Right-handed","no","left","space","1402.21012264","289.15878266","1","red","2","diamond"
"78","100","19","960.583538695","low_load","0","1","1","7","2","1","Female","Right-handed","no","None","space","3000.08883851","943.596523037","1","green","2","circle"
"79","100","19","964.814296814","low_load","1","1","1","1","0","1","Female","Right-handed","no","left","space","1781.49509768","385.055950625","1","red","0","circle"
"80","100","19","968.266673979","low_load","1","1","1","1","0","3","Female","Right-handed","no","down","space","1303.98743816","832.783785343","1","green","6","circle"
"80","100","19","959.91297281","low_load","1","1","1","","6","2","Female","Right-handed","no","left","space","1161.33651612","257.267359353","1","red","3","diamond"
"81","100","19","947.573224224","low_load","1","1","1","","6","2","Female","Right-handed","no","left","space","1065.06571324","65.0163228711","1","red","7","diamond"
"81","100","19","950.532297815","low_load","1","1","1","5","4","0","Female","Right-handed","no","down","space","1384.83273183","705.612573642","1","green","1","diamond"
"82","100","19","954.390699753","low_load","1","1","1","1","0","3","Female","Right-handed","no","down","space","1866.31150504","297.124422359","1","red","4","diamond"
"82","100","19","948.692761182","low_load","1","1","1","1","0","4","Female","Right-handed","no","down","space","1221.09501007","288.830689504","1","green","5","circle"
"83","100","19","939.47385737","low_load","1","1","1","1","0","3","Female","Right-handed","no","left","space","1016.38797994","217.236467928","1","green","6","diamond"
"83","100","19","930.799143833","low_load","1","1","1","1","0","2","Female","Right-handed","no","down","space","996.037545658","240.981367329","1","green","3","diamond"
"84","100","19","923.255950818","low_load","1","1","1","","6","3","Female","Right-handed","no","down","space","1038.78490721","249.530711357","1","green","4","diamond"
"84","100","19","914.056072111","low_load","1","1","1","","6","3","Female","Right-handed","no","left","space","1047.51577685","81.4055856608","1","red","6","circle"
"82","100","19","908.11737877","low_load","0","1","1","5","4","1","Female","Right-handed","no","down","space","1026.19581613","326.820860821","1","green","2","diamond"
"82","100","19","902.837467908","low_load","1","1","1","1","0","1","Female","Right-handed","no","down","space","1133.73179172","249.550275068","1","green","2","diamond"
"83","100","19","903.024143536","low_load","1","1","1","1","0","1","Female","Right-handed","no","down","space","1500.33562999","321.020058589","1","red","2","diamond"
"83","100","19","897.509665711","low_load","1","1","1","","6","4","Female","Right-handed","no","down","space","1074.96623656","256.836957589","1","green","5","diamond"
"84","100","19","891.211866389","low_load","1","1","1","","6","1","Female","Right-handed","no","down","space","991.513837158","249.299153918","1","red","2","diamond"
"84","100","19","892.655488694","low_load","1","1","1","1","0","3","Female","Right-handed","no","down","space","1495.30839633","417.041343913","1","green","4","circle"
"84","100","19","889.721088199","low_load","1","1","1","1","0","1","Female","Right-handed","no","left","space","1242.75364759","272.592484267","1","green","0","circle"
"85","100","19","887.21226521","low_load","1","1","1","2","1","2","Female","Right-handed","no","down","space","1446.51616715","97.0966482855","1","red","3","diamond"
"85","100","19","890.008106515","low_load","1","1","1","","6","3","Female","Right-handed","no","down","space","1490.06788609","552.75740959","1","green","6","circle"
"85","100","19","887.82341469","low_load","1","1","1","1","0","1","Female","Right-handed","no","down","space","1381.55629043","184.360123763","1","green","0","diamond"
"86","100","19","900.857769538","low_load","1","1","1","1","0","2","Female","Right-handed","no","left","space","1638.22519248","1440.85712169","1","green","7","circle"
"86","100","19","894.422883167","low_load","1","1","1","1","0","4","Female","Right-handed","no","left","space","1032.85613902","112.500990217","1","red","5","circle"
