"acc_1","acc_2","age","avg_rt","condition","correct_1","correct_2","count_block_loop","dis_position","distance_dis","distance_tar","gender","hand","practice","response_keyboard_response_1","response_keyboard_response_2","response_time_keyboard_response_1","response_time_keyboard_response_2","subject_nr","tar_color","tar_position","tar_shape"
"100","100","18","1641.54842488","low_load","1","1","0","","6","4","Male","Right-handed","yes","down","space","1386.00905824","1897.08779152","7","red","3","diamond"
"100","100","18","1581.32336726","low_load","1","1","0","","6","3","Male","Right-handed","yes","down","space","1600.60499428","1441.59162501","7","red","2","diamond"
"100","100","18","1262.959719","low_load","1","1","0","","6","1","Male","Right-handed","yes","left","space","755.431125775","497.033719195","7","red","0","diamond"
"100","100","18","1191.66138024","low_load","1","1","0","","6","2","Male","Right-handed","yes","down","space","1409.95289999","545.579827878","7","red","5","circle"
"100","100","18","1159.3351413","low_load","1","1","0","","6","2","Male","Right-handed","yes","left","space","1594.6284949","465.431876246","7","red","5","circle"
"83","100","18","1048.63780607","low_load","0","1","0","","6","4","Male","Right-handed","yes","down","space","614.163165008","376.139094806","7","green","3","diamond"
"85","100","18","999.49460106","low_load","1","1","0","","6","2","Male","Right-handed","yes","left","space","1111.71130894","297.559433055","7","red","1","diamond"
"87","100","18","982.412382627","low_load","1","1","0","","6","0","Male","Right-handed","yes","down","space","1372.42651327","353.247193914","7","red","7","circle"
"88","100","18","934.42834248","low_load","1","1","0","","6","3","Male","Right-handed","yes","down","space","907.081871146","194.03017146","7","red","2","circle"
"90","100","18","903.146746392","low_load","1","1","0","","6","1","Male","Right-handed","yes","left","space","1081.7932128","161.431550399","7","green","0","circle"
"90","100","18","863.644002453","low_load","1","1","0","","6","3","Male","Right-handed","yes","left","space","696.14912673","241.083999403","7","green","4","diamond"
"91","100","18","823.868284282","low_load","1","1","0","","6","3","Male","Right-handed","yes","down","space","563.067382585","209.603386224","7","green","4","circle"
"0","100","18","1080.84694709","low_load","0","1","1","7","0","2","Male","Right-handed","no","left","space","913.975932363","1247.71796183","7","red","5","circle"
"50","100","18","852.853758412","low_load","1","1","1","7","0","1","Male","Right-handed","no","left","space","1016.40963603","233.311503423","7","green","0","circle"
"33","100","18","902.720753104","low_load","0","1","1","5","2","1","Male","Right-handed","no","down","space","1781.11195281","223.797532173","7","red","6","circle"
"50","100","18","955.848510574","low_load","1","1","1","4","3","2","Male","Right-handed","no","left","space","2005.33795845","225.125607512","7","green","1","diamond"
"60","100","18","895.347791533","low_load","1","1","1","","6","0","Male","Right-handed","no","left","space","1169.81789236","136.871938386","7","green","7","diamond"
"66","100","18","872.449738287","low_load","1","1","1","1","2","4","Male","Right-handed","no","left","space","1378.51911101","137.3998331","7","red","3","diamond"
"71","100","18","854.064257826","low_load","1","1","1","","6","1","Male","Right-handed","no","down","space","1294.38725407","193.115496051","7","green","6","circle"
"75","100","18","867.779492349","low_load","1","1","1","7","0","1","Male","Right-handed","no","down","space","1798.01677076","129.555497257","7","green","0","diamond"
"77","100","18","836.339222278","low_load","1","1","1","7","0","4","Male","Right-handed","no","down","space","944.280809199","225.353314223","7","red","3","diamond"
"80","100","18","804.652192431","low_load","1","1","1","7","0","1","Male","Right-handed","no","down","space","822.070617303","216.867230309","7","red","0","diamond"
"81","100","18","770.514683642","low_load","1","1","1","7","0","3","Male","Right-handed","no","down","space","632.701377723","225.577813797","7","green","2","diamond"
"83","100","18","743.62505396","low_load","1","1","1","1","2","3","Male","Right-handed","no","left","space","734.060049146","161.618205761","7","red","4","diamond"
"84","100","18","732.225751937","low_load","1","1","1","","6","1","Male","Right-handed","no","down","space","1110.15456475","80.7136905623","7","green","0","circle"
"85","100","18","732.962589849","low_load","1","1","1","7","0","3","Male","Right-handed","no","down","space","1379.63070462","105.452260806","7","green","2","diamond"
"86","100","18","723.555158156","low_load","1","1","1","7","0","4","Male","Right-handed","no","left","space","894.410153025","289.292075871","7","green","3","circle"
"87","100","18","701.388004699","low_load","1","1","1","","6","3","Male","Right-handed","no","down","space","649.055851003","88.7055546955","7","red","4","diamond"
"88","100","18","686.221642355","low_load","1","1","1","7","0","3","Male","Right-handed","no","left","space","717.611606755","169.508082947","7","green","2","diamond"
"88","100","18","679.864845198","low_load","1","1","1","7","0","2","Male","Right-handed","no","down","space","1086.38005982","57.2185272449","7","red","5","circle"
"84","100","18","685.310270396","low_load","0","1","1","0","1","3","Male","Right-handed","no","left","space","1286.05479201","280.601055916","7","green","2","circle"
"85","100","18","693.507600593","low_load","1","1","1","7","0","3","Male","Right-handed","no","left","space","1577.20925221","121.30449647","7","red","4","diamond"
"85","100","18","741.766760642","low_load","1","1","1","3","4","0","Male","Right-handed","no","down","space","2525.11348453","888.786438685","7","green","7","circle"
"86","100","18","733.712052939","low_load","1","1","1","","6","2","Male","Right-handed","no","down","space","839.844890037","289.281492318","7","red","5","circle"
"86","100","18","732.947828056","low_load","1","1","1","7","0","3","Male","Right-handed","no","left","space","1127.36662641","304.903134847","7","green","4","circle"
"87","100","18","732.603721743","low_load","1","1","1","7","0","2","Male","Right-handed","no","left","space","984.73916036","464.639392749","7","red","1","diamond"
"88","100","18","735.310659304","low_load","1","1","1","7","0","2","Male","Right-handed","no","down","space","1391.39544445","209.158877067","7","green","1","circle"
"88","100","18","734.879410917","low_load","1","1","1","0","1","1","Male","Right-handed","no","left","space","1111.17250996","337.023892527","7","green","6","circle"
"88","100","18","737.446429234","low_load","1","1","1","3","4","0","Male","Right-handed","no","down","space","1279.86084875","328.516962225","7","green","7","diamond"
"89","100","18","728.512326767","low_load","1","1","1","","6","3","Male","Right-handed","no","left","space","613.367153659","361.215966666","7","green","4","diamond"
"89","100","18","716.802186259","low_load","1","1","1","7","0","3","Male","Right-handed","no","down","space","560.89198171","216.944522306","7","green","2","diamond"
"90","100","18","707.97520306","low_load","1","1","1","7","0","4","Male","Right-handed","no","left","space","607.437799186","296.547581402","7","green","3","diamond"
"90","100","18","701.48265209","low_load","1","1","1","0","1","2","Male","Right-handed","no","left","space","884.401961997","129.010284005","7","red","5","diamond"
"90","100","18","704.528914102","low_load","1","1","1","0","1","2","Male","Right-handed","no","down","space","1205.16502964","392.761043293","7","green","5","circle"
"90","100","18","715.538960599","low_load","1","1","1","2","3","4","Male","Right-handed","no","down","space","1894.57307557","241.147821423","7","red","3","circle"
"91","100","18","714.285216371","low_load","1","1","1","7","0","2","Male","Right-handed","no","down","space","1088.96244635","256.860867352","7","red","1","diamond"
"91","100","18","705.979555328","low_load","1","1","1","7","0","2","Male","Right-handed","no","down","space","814.589329342","32.584830371","7","green","5","diamond"
"91","100","18","706.946233314","low_load","1","1","1","7","0","2","Male","Right-handed","no","left","space","1360.48377734","121.076148333","7","green","1","circle"
"91","100","18","707.674965217","low_load","1","1","1","7","0","3","Male","Right-handed","no","left","space","1227.00659323","240.812034202","7","green","4","diamond"
"92","100","18","703.267868976","low_load","1","1","1","","6","4","Male","Right-handed","no","down","space","879.913894791","200.496721343","7","red","3","circle"
"92","100","18","702.098998654","low_load","1","1","1","7","0","1","Male","Right-handed","no","left","space","802.30824048","513.055612393","7","red","6","diamond"
"92","100","18","695.344456111","low_load","1","1","1","","6","4","Male","Right-handed","no","left","space","679.028789184","184.805804662","7","red","3","circle"
"92","100","18","689.26255535","low_load","1","1","1","2","3","2","Male","Right-handed","no","down","space","635.534241637","256.43880815","7","green","5","circle"
"92","100","18","686.927650171","low_load","1","1","1","","6","2","Male","Right-handed","no","down","space","693.403817648","488.989258016","7","red","1","circle"
"93","100","18","681.770969442","low_load","1","1","1","","6","2","Male","Right-handed","no","left","space","577.82790889","352.552848804","7","green","1","diamond"
"93","100","18","684.921432875","low_load","1","1","1","","6","3","Male","Right-handed","no","down","space","1344.55424968","296.228471292","7","green","2","circle"
"93","100","18","680.381865936","low_load","1","1","1","5","2","1","Male","Right-handed","no","left","space","584.215563207","377.066278046","7","green","6","circle"
"93","100","18","676.952447002","low_load","1","1","1","0","1","4","Male","Right-handed","no","down","space","940.644557522","104.612632398","7","green","3","diamond"
"91","100","18","683.109106479","low_load","0","1","1","7","0","1","Male","Right-handed","no","down","space","1464.53355723","468.097327621","7","red","0","circle"
"91","100","18","676.115452861","low_load","1","1","1","7","0","3","Male","Right-handed","no","left","space","557.970280104","136.857185558","7","red","4","diamond"
"91","100","18","687.958688465","low_load","1","1","1","7","0","1","Male","Right-handed","no","left","space","2176.42619769","336.441797202","7","green","6","diamond"
"92","100","18","696.78650347","low_load","1","1","1","","6","0","Male","Right-handed","no","left","space","1690.13991455","568.558962888","7","red","7","circle"
"92","100","18","694.526494742","low_load","1","1","1","6","1","2","Male","Right-handed","no","down","space","922.653803056","240.398313559","7","red","5","circle"
"92","100","18","690.916741668","low_load","1","1","1","","6","2","Male","Right-handed","no","down","space","757.45803622","256.18063364","7","green","1","diamond"
"92","100","18","689.173628443","low_load","1","1","1","","6","0","Male","Right-handed","no","left","space","1076.26346757","120.800013856","7","red","7","circle"
"92","100","18","690.449058778","low_load","1","1","1","6","1","0","Male","Right-handed","no","left","space","1227.54122293","288.55251013","7","green","7","circle"
"92","100","18","685.260588318","low_load","1","1","1","","6","3","Male","Right-handed","no","down","space","561.075109219","249.091257794","7","red","2","circle"
"92","100","18","681.387592467","low_load","1","1","1","","6","1","Male","Right-handed","no","left","space","655.909502299","280.836139043","7","red","0","circle"
"92","100","18","686.284297528","low_load","1","1","1","7","0","2","Male","Right-handed","no","down","space","1560.58056873","360.418993176","7","green","5","diamond"
"93","100","18","680.607117959","low_load","1","1","1","","6","3","Male","Right-handed","no","down","space","641.097341091","72.9184239099","7","red","2","diamond"
"93","100","18","679.023576228","low_load","1","1","1","2","3","2","Male","Right-handed","no","left","space","725.968763771","448.387547844","7","red","1","diamond"
"93","100","18","675.819565095","low_load","1","1","1","","6","1","Male","Right-handed","no","left","space","829.507005348","144.058811191","7","green","6","circle"
"93","100","18","676.470684882","low_load","1","1","1","0","1","0","Male","Right-handed","no","left","space","1310.18368555","120.89205868","7","green","7","diamond"
"93","100","18","675.1664654","low_load","1","1","1","7","0","1","Male","Right-handed","no","left","space","1006.83408776","184.384066175","7","red","6","diamond"
"93","100","18","673.039176173","low_load","1","1","1","7","0","1","Male","Right-handed","no","down","space","898.188480864","184.106007417","7","green","0","diamond"
"93","100","18","669.412886107","low_load","1","1","1","7","0","3","Male","Right-handed","no","down","space","737.018632824","144.894591034","7","red","2","diamond"
"93","100","18","666.962408262","low_load","1","1","1","7","0","4","Male","Right-handed","no","down","space","867.78193779","152.481714509","7","red","3","diamond"
"93","100","18","666.375626293","low_load","1","1","1","","6","2","Male","Right-handed","no","left","space","904.265042915","352.20455375","7","red","5","circle"
"94","100","18","664.283920409","low_load","1","1","1","","6","2","Male","Right-handed","no","left","space","875.79849688","176.664167238","7","green","5","circle"
"94","100","18","661.773461837","low_load","1","1","1","7","0","1","Male","Right-handed","no","down","space","826.694025682","160.451449401","7","red","6","circle"
"94","100","18","662.43657643","low_load","1","1","1","","6","1","Male","Right-handed","no","down","space","887.248616602","527.808120854","7","red","0","diamond"
"94","100","18","660.224514694","low_load","1","1","1","7","0","4","Male","Right-handed","no","left","space","694.709122316","320.475387471","7","green","3","diamond"
"94","100","18","658.994537505","low_load","1","1","1","2","3","1","Male","Right-handed","no","down","space","921.555037996","224.237230625","7","green","0","circle"
"93","100","18","656.354525933","low_load","0","1","1","6","1","3","Male","Right-handed","no","down","space","629.947409372","307.879999204","7","red","2","diamond"
"93","100","18","652.1531082","low_load","1","1","1","","6","1","Male","Right-handed","no","down","space","618.724034219","80.5780286755","7","red","6","diamond"
"91","100","18","648.351565935","low_load","0","1","1","7","0","2","Male","Right-handed","no","down","space","637.487708649","104.190252487","7","red","1","circle"
"92","100","18","647.360126609","low_load","1","1","1","6","1","3","Male","Right-handed","no","down","space","1036.33621826","111.651014769","7","green","4","circle"
"92","100","18","646.364016708","low_load","1","1","1","","6","4","Male","Right-handed","no","down","space","990.767936071","152.543612248","7","red","3","diamond"
"92","100","18","645.678788041","low_load","1","1","1","7","0","2","Male","Right-handed","no","left","space","1091.29499693","95.9078217566","7","red","5","circle"
"92","100","18","647.404208457","low_load","1","1","1","7","0","1","Male","Right-handed","no","left","space","1527.99541764","32.5277433366","7","green","6","circle"
"92","100","18","646.967444728","low_load","1","1","1","","6","3","Male","Right-handed","no","down","space","1169.48787799","56.3118696791","7","red","4","circle"
"91","100","18","645.51844729","low_load","0","1","1","7","0","3","Male","Right-handed","no","down","space","921.140355211","140.954944218","7","red","4","circle"
"100","100","18","406.613148107","low_load","1","1","2","7","0","3","Male","Right-handed","no","down","space","636.673416622","176.552879591","7","green","2","circle"
"50","100","18","707.088750455","low_load","0","1","2","7","0","1","Male","Right-handed","no","down","space","1686.10726077","329.021444841","7","red","6","diamond"
"66","100","18","792.475426384","low_load","1","1","2","7","0","1","Male","Right-handed","no","down","space","1781.68699243","144.810564052","7","red","6","diamond"
"75","100","18","810.177311368","low_load","1","1","2","4","3","1","Male","Right-handed","no","left","space","1661.36740767","65.1985249734","7","red","0","circle"
"80","100","18","733.118850717","low_load","1","1","2","0","1","2","Male","Right-handed","no","left","space","784.872962106","64.8970541169","7","red","1","circle"
"83","100","18","663.625499218","low_load","1","1","2","","6","0","Male","Right-handed","no","down","space","559.779105248","72.5383782028","7","green","7","diamond"
"85","100","18","616.797530065","low_load","1","1","2","7","0","2","Male","Right-handed","no","left","space","550.403682306","121.255747992","7","green","5","circle"
"75","100","18","576.060636213","low_load","0","1","2","7","0","2","Male","Right-handed","no","left","space","547.880948518","33.9238099769","7","red","1","diamond"
"77","100","18","610.722530856","low_load","1","1","2","7","0","2","Male","Right-handed","no","left","space","1551.5197659","224.515610096","7","green","1","diamond"
"80","100","18","590.571659302","low_load","1","1","2","7","0","4","Male","Right-handed","no","down","space","665.195766835","153.231863802","7","green","3","diamond"
"81","100","18","578.732306883","low_load","1","1","2","7","0","1","Male","Right-handed","no","left","space","768.056340414","152.621224961","7","red","0","diamond"
"83","100","18","670.651012953","low_load","1","1","2","","6","3","Male","Right-handed","no","left","space","851.379036743","2512.13452271","7","red","4","diamond"
"84","100","18","648.10104938","low_load","1","1","2","","6","4","Male","Right-handed","no","left","space","650.070589081","104.932383936","7","red","3","diamond"
"85","100","18","652.139570286","low_load","1","1","2","2","3","3","Male","Right-handed","no","left","space","1304.73059089","104.55009323","7","green","4","diamond"
"86","100","18","649.01354887","low_load","1","1","2","","6","3","Male","Right-handed","no","left","space","1137.40624738","73.0922507246","7","green","2","circle"
"87","100","18","642.196156263","low_load","1","1","2","","6","1","Male","Right-handed","no","down","space","967.138714439","112.731819863","7","red","6","circle"
"88","100","18","644.124746151","low_load","1","1","2","7","0","3","Male","Right-handed","no","down","space","1301.33711946","48.6272492454","7","green","4","diamond"
"83","100","18","633.345156978","low_load","0","1","2","7","0","1","Male","Right-handed","no","down","space","893.253018075","6.93126400246","7","red","6","circle"
"84","100","18","640.578071888","low_load","1","1","2","5","2","0","Male","Right-handed","no","left","space","1452.74797101","88.7931095313","7","red","7","circle"
"85","100","18","647.68428689","low_load","1","1","2","1","2","3","Male","Right-handed","no","down","space","1165.3214866","400.083257271","7","red","2","diamond"
"85","100","18","668.717119021","low_load","1","1","2","7","0","1","Male","Right-handed","no","left","space","1985.81547546","192.932047828","7","green","6","diamond"
"86","100","18","670.459363449","low_load","1","1","2","","6","3","Male","Right-handed","no","down","space","1277.65177294","136.441219916","7","red","2","diamond"
"86","100","18","665.85362031","low_load","1","1","2","7","0","4","Male","Right-handed","no","down","space","912.09815378","216.956388713","7","green","3","diamond"
"87","100","18","654.808211617","low_load","1","1","2","7","0","3","Male","Right-handed","no","left","space","792.811908483","8.71571490646","7","green","4","diamond"
"88","100","18","652.492830446","low_load","1","1","2","7","0","4","Male","Right-handed","no","down","space","825.499687946","368.347676718","7","green","3","diamond"
"88","100","18","642.097369511","low_load","1","1","2","","6","1","Male","Right-handed","no","left","space","700.209361888","64.212330415","7","red","0","diamond"
"88","100","18","642.253115977","low_load","1","1","2","7","0","4","Male","Right-handed","no","down","space","1027.89727926","264.707768903","7","green","3","circle"
"89","100","18","657.234983292","low_load","1","1","2","","6","1","Male","Right-handed","no","down","space","1979.10261747","144.388184139","7","red","6","circle"
"89","100","18","671.031721746","low_load","1","1","2","7","0","3","Male","Right-handed","no","down","space","1881.94882308","232.731973807","7","red","2","diamond"
"90","100","18","672.627910771","low_load","1","1","2","7","0","3","Male","Right-handed","no","down","space","1301.49298631","136.341798678","7","red","4","diamond"
"90","100","18","670.920449083","low_load","1","1","2","7","0","2","Male","Right-handed","no","down","space","1079.20537414","160.187822757","7","red","1","circle"
"90","100","18","664.355652346","low_load","1","1","2","7","0","2","Male","Right-handed","no","down","space","712.938167044","208.755739972","7","red","1","diamond"
"90","100","18","668.147391998","low_load","1","1","2","1","2","2","Male","Right-handed","no","left","space","1306.57758096","272.38854077","7","red","5","circle"
